episode_id,window_id,true_break_event_id,retest_event_id,sweep_event_id,timestamp,direction,side,retest_source_tf,retest_regime_at_event,retest_structure_trend_at_event,retest_atr_at_event,retest_dist_pips,retest_dist_per_atr,retest_trend_aligned,regime_changed_break_to_retest,tb_source_tf,tb_regime_at_event,tb_structure_trend_at_event,tb_atr_at_event,tb_penetration_pips,tb_penetration_per_atr,sweep_source_tf,sweep_regime_at_event,sweep_structure_trend_at_event,sweep_penetration_per_atr,regime_changed_sweep_to_break,primary_outcome,economic_outcome,period
w0__BUY__seq168,w0,611,612,605,2025-09-29 00:00:00,BUY,Asia-Low,PERIOD_D1,STRONG_TREND,UP,47.49357,6446.99999999998,1.3574469133400542,True,False,PERIOD_H1,STRONG_TREND,UP,13.41571,640.3,0.47727626789786,PERIOD_D1,STRONG_TREND,UP,0.04112135600671839,False,FAIL,MINUS_1R_FIRST,DISCOVERY
w0__BUY__seq213,w0,683,684,639,2025-09-30 21:00:00,BUY,Asia-Low,PERIOD_M5,RANGING,UP,2.49929,1631.00000000004,6.525853342349388,True,True,PERIOD_H4,STRONG_TREND,UP,28.68071,178.7,0.0623066862710163,PERIOD_D1,STRONG_TREND,UP,0.12493016029007349,False,FAIL,MINUS_1R_FIRST,DISCOVERY
w0__BUY__seq222,w0,708,712,691,2025-10-01 09:00:00,BUY,Asia-Low,PERIOD_H1,STRONG_TREND,DOWN,10.09429,941.0000000000309,0.9322101901174138,False,True,PERIOD_M15,WEAK_TREND,UP,5.23643,38.8,0.07409628315474473,PERIOD_D1,STRONG_TREND,UP,0.05769900113361791,True,AMBIGUOUS,AMBIGUOUS_SAME_BAR,DISCOVERY
w0__BUY__seq226,w0,728,729,691,2025-10-01 12:45:00,BUY,Asia-Low,PERIOD_M5,STRONG_TREND,UP,3.21357,3557.9999999999927,11.071798653833564,True,False,PERIOD_H4,STRONG_TREND,UP,28.12,396.6,0.14103840682788052,PERIOD_D1,STRONG_TREND,UP,0.05769900113361791,False,FAIL,MINUS_1R_FIRST,DISCOVERY
w0__BUY__seq239,w0,746,748,691,2025-10-01 16:00:00,BUY,Asia-Low,PERIOD_H1,STRONG_TREND,UP,11.71357,1934.999999999991,1.6519301971986258,True,False,PERIOD_H4,STRONG_TREND,UP,27.36,171.3,0.06260964912280702,PERIOD_D1,STRONG_TREND,UP,0.05769900113361791,False,FAIL,MINUS_1R_FIRST,DISCOVERY
w0__BUY__seq247,w0,768,769,691,2025-10-01 19:15:00,BUY,Asia-Low,PERIOD_M15,RANGING,DOWN,9.09714,1417.9999999999836,1.5587316453302726,False,True,PERIOD_M30,WEAK_TREND,DOWN,10.83286,151.4,0.13975995258869772,PERIOD_D1,STRONG_TREND,UP,0.05769900113361791,True,HOLD,PLUS_1R_FIRST,DISCOVERY
w0__BUY__seq251,w0,781,782,691,2025-10-01 22:00:00,BUY,Asia-Low,PERIOD_H1,WEAK_TREND,UP,14.04143,1286.999999999989,0.916573311977476,True,False,PERIOD_M5,WEAK_TREND,UP,3.81214,60.8,0.15949046991978258,PERIOD_D1,STRONG_TREND,UP,0.05769900113361791,True,FAIL,MINUS_1R_FIRST,DISCOVERY
w0__BUY__seq271,w0,874,875,873,2025-10-06 04:00:00,BUY,Asia-Low,PERIOD_H4,STRONG_TREND,UP,23.79071,10103.999999999996,4.247035922845512,True,False,PERIOD_M15,STRONG_TREND,UP,5.96643,1007.4,1.6884468601827223,PERIOD_D1,STRONG_TREND,UP,0.0847838279115901,False,FAIL,MINUS_1R_FIRST,DISCOVERY
w0__BUY__seq272,w0,876,877,873,2025-10-06 08:00:00,BUY,Asia-Low,PERIOD_H1,STRONG_TREND,UP,12.59357,9558.999999999969,7.5903814406875645,True,False,PERIOD_H4,STRONG_TREND,UP,25.49357,970.2,0.38056655070278506,PERIOD_D1,STRONG_TREND,UP,0.0847838279115901,False,HOLD,PLUS_1R_FIRST,DISCOVERY
w0__BUY__seq280,w0,913,915,912,2025-10-07 01:45:00,BUY,Asia-Low,PERIOD_M15,WEAK_TREND,UP,5.20214,6568.000000000029,12.625573321748414,True,True,PERIOD_M30,STRONG_TREND,UP,9.09071,748.4,0.8232580293508428,PERIOD_D1,STRONG_TREND,UP,0.10375463213988172,False,FAIL,MINUS_1R_FIRST,DISCOVERY
w0__BUY__seq281,w0,918,919,912,2025-10-07 02:00:00,BUY,Asia-Low,PERIOD_M15,WEAK_TREND,UP,5.85071,6554.000000000042,11.202059237255037,True,True,PERIOD_M30,STRONG_TREND,UP,9.26214,651.1,0.7029692921938127,PERIOD_D1,STRONG_TREND,UP,0.10375463213988172,False,AMBIGUOUS,AMBIGUOUS_SAME_BAR,DISCOVERY
w0__BUY__seq288,w0,948,949,912,2025-10-07 09:00:00,BUY,Asia-Low,PERIOD_H1,STRONG_TREND,UP,11.6,3646.99999999998,3.1439655172413623,True,False,PERIOD_H1,STRONG_TREND,UP,11.6,424.6,0.3660344827586207,PERIOD_D1,STRONG_TREND,UP,0.10375463213988172,False,HOLD,PLUS_1R_FIRST,DISCOVERY
w0__SELL__seq418,w0,1048,1050,1046,2025-10-08 17:00:00,SELL,Equal-High,PERIOD_H1,STRONG_TREND,UP,13.06,200.0,0.15313935681470137,False,True,PERIOD_M15,WEAK_TREND,DOWN,7.70714,106.4,0.13805380465386644,PERIOD_M15,WEAK_TREND,DOWN,0.028669441341334416,False,HOLD,PLUS_1R_FIRST,DISCOVERY
w0__SELL__seq486,w0,1172,1173,1171,2025-10-10 19:00:00,SELL,Equal-High,PERIOD_M30,RANGING,UP,14.95714,978.9999999999964,0.6545368967596722,False,True,PERIOD_D1,STRONG_TREND,UP,66.09857,236.5,0.03577989659988106,PERIOD_M5,STRONG_TREND,UP,0.020270178492504735,False,FAIL,MINUS_1R_FIRST,DISCOVERY
w0__BUY__seq375,w0,1243,1244,1225,2025-10-14 09:00:00,BUY,Asia-Low,PERIOD_M15,VOLATILE,UP,12.79357,6617.000000000007,5.172129436896822,True,False,PERIOD_M30,VOLATILE,UP,16.17071,655.9,0.4056098959167532,PERIOD_D1,STRONG_TREND,UP,0.12064952442097553,True,AMBIGUOUS,AMBIGUOUS_SAME_BAR,DISCOVERY
w0__BUY__seq394,w0,1372,1373,1360,2025-10-16 04:00:00,BUY,Asia-Low,PERIOD_M15,WEAK_TREND,UP,7.29571,5697.0000000000255,7.8086985365372605,True,False,PERIOD_M30,WEAK_TREND,UP,10.24643,567.0,0.5533634641528805,PERIOD_D1,STRONG_TREND,UP,0.07152065245987899,True,HOLD,PLUS_1R_FIRST,DISCOVERY
w0__BUY__seq398,w0,1437,1438,1421,2025-10-17 00:00:00,BUY,Asia-Low,PERIOD_D1,STRONG_TREND,UP,81.85786,15346.000000000004,1.874713069703997,True,True,PERIOD_H1,VOLATILE,UP,30.89,1389.7,0.4498866947232114,PERIOD_D1,STRONG_TREND,UP,0.1496496487936528,True,FAIL,MINUS_1R_FIRST,DISCOVERY
w0__SELL__seq760,w0,1876,1878,1874,2025-10-31 05:00:00,SELL,Daily-High,PERIOD_H1,STRONG_TREND,UP,21.04,1581.999999999971,0.7519011406843968,False,False,PERIOD_M15,STRONG_TREND,UP,9.82071,240.4,0.2447888187310286,PERIOD_M15,WEAK_TREND,UP,0.02950080625989924,True,AMBIGUOUS,AMBIGUOUS_SAME_BAR,DISCOVERY
w0__BUY__seq845,w0,2359,2360,2334,2025-11-13 19:00:00,BUY,Asia-Low,PERIOD_H1,STRONG_TREND,UP,18.345,2310.0000000000364,1.259198691741639,True,True,PERIOD_M15,WEAK_TREND,DOWN,14.55071,151.2,0.10391245513105546,PERIOD_D1,STRONG_TREND,UP,0.10272400313502027,True,HOLD,PLUS_1R_FIRST,DISCOVERY
w0__BUY__seq1056,w0,2960,2961,2953,2025-11-28 19:00:00,BUY,Asia-Low,PERIOD_H1,WEAK_TREND,UP,14.77786,4414.999999999964,2.987577362351493,True,True,PERIOD_M5,STRONG_TREND,UP,4.68786,442.6,0.9441408233181026,PERIOD_H4,WEAK_TREND,UP,0.09495907298094916,True,AMBIGUOUS,AMBIGUOUS_SAME_BAR,DISCOVERY
w0__BUY__seq1204,w0,3422,3423,3419,2025-12-12 12:00:00,BUY,Asia-Low,PERIOD_H1,STRONG_TREND,UP,11.12357,5269.000000000051,4.736788638899248,True,False,PERIOD_M5,STRONG_TREND,UP,4.00143,489.3,1.222812844408124,PERIOD_D1,STRONG_TREND,UP,0.11854422946508439,False,HOLD,PLUS_1R_FIRST,DISCOVERY
w0__BUY__seq1217,w0,3462,3464,3457,2025-12-15 02:00:00,BUY,Asia-Low,PERIOD_H1,STRONG_TREND,UP,21.075,4014.0000000000327,1.9046263345195886,True,True,PERIOD_M5,RANGING,UP,3.67286,379.4,1.0329824714255376,PERIOD_D1,STRONG_TREND,DOWN,0.06278800114398359,True,AMBIGUOUS,AMBIGUOUS_SAME_BAR,DISCOVERY
w0__SELL__seq1490,w0,3621,3624,3615,2025-12-18 17:00:00,SELL,Asia-High,PERIOD_H1,WEAK_TREND,UP,10.68714,1438.000000000011,1.345542399556861,False,False,PERIOD_M15,WEAK_TREND,DOWN,8.10071,287.3,0.3546602705194977,PERIOD_M15,STRONG_TREND,DOWN,0.10851531016868272,True,FAIL,MINUS_1R_FIRST,DISCOVERY
w0__BUY__seq1285,w0,3630,3631,3593,2025-12-18 16:00:00,BUY,Asia-Low,PERIOD_H4,STRONG_TREND,UP,25.82143,3792.999999999938,1.468934911815472,True,True,PERIOD_M15,WEAK_TREND,UP,12.69714,377.1,0.2969960164257463,PERIOD_D1,STRONG_TREND,UP,0.049783580830307615,True,FAIL,MINUS_1R_FIRST,DISCOVERY
w0__BUY__seq1287,w0,3636,3642,3614,2025-12-18 20:00:00,BUY,Asia-Low,PERIOD_H1,RANGING,DOWN,15.56286,932.9999999999927,0.59950420424009,False,True,PERIOD_H1,WEAK_TREND,UP,13.03571,358.7,0.2751672137536045,PERIOD_H1,WEAK_TREND,DOWN,0.13333862717461073,False,AMBIGUOUS,AMBIGUOUS_SAME_BAR,DISCOVERY
w0__BUY__seq1293,w0,3665,3668,3664,2025-12-19 13:00:00,BUY,Equal-Low,PERIOD_H1,RANGING,UP,9.91429,525.0,0.5295386759919268,True,True,PERIOD_M15,WEAK_TREND,DOWN,4.27071,83.2,0.19481538198566514,PERIOD_M15,WEAK_TREND,DOWN,0.04530669930552269,False,HOLD,PLUS_1R_FIRST,DISCOVERY
w0__BUY__seq1348,w0,3822,3823,3817,2025-12-26 11:00:00,BUY,Asia-Low,PERIOD_H1,WEAK_TREND,DOWN,17.12071,4682.999999999993,2.735283758675892,False,True,PERIOD_M5,STRONG_TREND,UP,2.97929,491.5,1.6497219136102896,PERIOD_D1,STRONG_TREND,UP,0.016520355883792283,False,HOLD,PLUS_1R_FIRST,DISCOVERY
w0__SELL__seq1619,w0,3927,3928,3925,2025-12-29 21:00:00,SELL,Equal-High,PERIOD_H1,STRONG_TREND,DOWN,32.9,1935.9999999999673,0.5884498480243062,True,True,PERIOD_M5,RANGING,UP,5.43714,147.9,0.2720180094682131,PERIOD_H4,STRONG_TREND,UP,0.04684608020423359,True,HOLD,PLUS_1R_FIRST,DISCOVERY
w1__BUY__seq65,w1,314,315,306,2026-01-13 02:00:00,BUY,Asia-Low,PERIOD_M15,WEAK_TREND,DOWN,9.44214,6375.999999999931,6.752706483911413,False,False,PERIOD_M30,WEAK_TREND,UP,12.44643,633.0,0.5085795685991887,PERIOD_D1,STRONG_TREND,UP,0.062341992747178,True,FAIL,MINUS_1R_FIRST,VALIDATION
w1__BUY__seq67,w1,318,319,306,2026-01-13 02:30:00,BUY,Asia-Low,PERIOD_M15,WEAK_TREND,DOWN,9.65,5231.999999999971,5.421761658031058,False,False,PERIOD_M30,WEAK_TREND,UP,12.38071,519.3,0.41944282678457045,PERIOD_D1,STRONG_TREND,UP,0.062341992747178,True,HOLD,PLUS_1R_FIRST,VALIDATION
w1__BUY__seq83,w1,358,359,306,2026-01-13 17:30:00,BUY,Asia-Low,PERIOD_M15,VOLATILE,DOWN,12.00571,3546.0000000000036,2.9535945812450937,False,True,PERIOD_M30,WEAK_TREND,DOWN,12.75071,350.5,0.274886653370675,PERIOD_D1,STRONG_TREND,UP,0.062341992747178,True,HOLD,PLUS_1R_FIRST,VALIDATION
w1__BUY__seq86,w1,367,368,306,2026-01-13 19:00:00,BUY,Asia-Low,PERIOD_M15,WEAK_TREND,UP,13.42714,3997.9999999999563,2.9775514368658973,True,False,PERIOD_M30,WEAK_TREND,UP,15.47,396.7,0.256431803490627,PERIOD_D1,STRONG_TREND,UP,0.062341992747178,True,AMBIGUOUS,AMBIGUOUS_SAME_BAR,VALIDATION
w1__BUY__seq160,w1,650,651,647,2026-01-21 04:30:00,BUY,Asia-Low,PERIOD_M5,STRONG_TREND,UP,10.33214,15972.999999999956,15.459527261535321,True,False,PERIOD_H4,STRONG_TREND,UP,33.16357,1698.4,0.5121282178004359,PERIOD_D1,STRONG_TREND,UP,0.12366238147286729,False,HOLD,PLUS_1R_FIRST,VALIDATION
w1__BUY__seq177,w1,687,688,676,2026-01-22 13:00:00,BUY,Asia-Low,PERIOD_H1,STRONG_TREND,DOWN,24.52571,5860.999999999967,2.3897371370696168,False,True,PERIOD_M5,WEAK_TREND,UP,3.25071,537.4,1.653177305880869,PERIOD_D1,STRONG_TREND,UP,0.06997455544301087,True,FAIL,MINUS_1R_FIRST,VALIDATION
