episode_id,window_id,true_break_event_id,retest_event_id,sweep_event_id,timestamp,direction,side,retest_source_tf,retest_regime_at_event,retest_structure_trend_at_event,retest_atr_at_event,retest_dist_pips,retest_dist_per_atr,retest_trend_aligned,regime_changed_break_to_retest,tb_source_tf,tb_regime_at_event,tb_structure_trend_at_event,tb_atr_at_event,tb_penetration_pips,tb_penetration_per_atr,sweep_source_tf,sweep_regime_at_event,sweep_structure_trend_at_event,sweep_penetration_per_atr,regime_changed_sweep_to_break,primary_outcome,economic_outcome,period
w3__SELL__seq31,w3,142,144,141,2026-05-05 18:00:00,SELL,Equal-High,PERIOD_M30,WEAK_TREND,UP,13.11571,257.9999999999927,0.19671066225159958,False,False,PERIOD_D1,WEAK_TREND,UP,101.035,612.5,0.06062255653981294,PERIOD_M5,WEAK_TREND,UP,0.030582867755509432,False,HOLD,PLUS_1R_FIRST,VALIDATION
w3__SELL__seq32,w3,148,149,147,2026-05-05 21:30:00,SELL,Equal-High,PERIOD_M30,STRONG_TREND,UP,12.24643,122.00000000002547,0.09962086910228161,False,True,PERIOD_D1,WEAK_TREND,UP,101.035,390.4,0.03864007522145791,PERIOD_M5,RANGING,UP,0.025104372287524157,True,AMBIGUOUS,AMBIGUOUS_SAME_BAR,VALIDATION
w3__BUY__seq130,w3,332,333,330,2026-05-11 16:30:00,BUY,Daily-Low,PERIOD_M15,STRONG_TREND,DOWN,10.57,5180.000000000018,4.900662251655646,False,False,PERIOD_M30,STRONG_TREND,DOWN,14.12,513.5,0.3636685552407932,PERIOD_H1,STRONG_TREND,DOWN,0.11222926710026712,False,HOLD,PLUS_1R_FIRST,VALIDATION
w3__BUY__seq417,w3,898,899,893,2026-05-25 04:00:00,BUY,Asia-Low,PERIOD_H1,WEAK_TREND,UP,19.335,6666.000000000076,3.4476338246703264,True,False,PERIOD_M5,WEAK_TREND,DOWN,4.31786,641.6,1.4859212665533392,PERIOD_D1,STRONG_TREND,DOWN,0.00014131116982029458,True,FAIL,MINUS_1R_FIRST,VALIDATION
w3__SELL__seq337,w3,1405,1406,1353,2026-06-08 18:15:00,SELL,Asia-High,PERIOD_M5,RANGING,DOWN,7.01929,2793.000000000029,3.9790349166369094,True,True,PERIOD_H4,STRONG_TREND,DOWN,47.17143,202.0,0.04282253050204329,PERIOD_D1,STRONG_TREND,DOWN,0.14201680672268907,False,FAIL,MINUS_1R_FIRST,VALIDATION
w3__SELL__seq351,w3,1449,1450,1446,2026-06-09 18:00:00,SELL,Daily-High,PERIOD_H1,RANGING,UP,19.05929,5260.999999999967,2.7603336745492446,False,True,PERIOD_M15,WEAK_TREND,UP,12.57214,683.6,0.5437419564211026,PERIOD_H1,RANGING,UP,0.15629701823016082,True,HOLD,PLUS_1R_FIRST,VALIDATION
w3__SELL__seq357,w3,1497,1498,1496,2026-06-11 01:00:00,SELL,Asia-High,PERIOD_M5,STRONG_TREND,DOWN,4.76929,17553.999999999996,36.80631708283622,True,False,PERIOD_H4,STRONG_TREND,DOWN,47.35714,1759.5,0.3715384839540563,PERIOD_D1,STRONG_TREND,DOWN,0.16096527568699787,False,HOLD,PLUS_1R_FIRST,VALIDATION
w3__SELL__seq359,w3,1501,1502,1496,2026-06-11 02:00:00,SELL,Asia-High,PERIOD_H1,STRONG_TREND,DOWN,31.06214,18576.999999999953,5.9805924511318125,True,False,PERIOD_M15,STRONG_TREND,DOWN,15.04643,2172.9,1.44412993646998,PERIOD_D1,STRONG_TREND,DOWN,0.16096527568699787,False,HOLD,PLUS_1R_FIRST,VALIDATION
w3__SELL__seq363,w3,1527,1528,1496,2026-06-11 13:00:00,SELL,Asia-High,PERIOD_H1,STRONG_TREND,DOWN,29.70286,2757.0000000000164,0.9281934466916708,True,True,PERIOD_M5,WEAK_TREND,UP,5.38429,303.5,0.5636769193338398,PERIOD_D1,STRONG_TREND,DOWN,0.16096527568699787,True,FAIL,MINUS_1R_FIRST,VALIDATION
w3__BUY__seq853,w3,1583,1584,1582,2026-06-12 08:30:00,BUY,Equal-Low,PERIOD_M30,WEAK_TREND,DOWN,18.63,476.9999999999527,0.25603864734296977,False,True,PERIOD_D1,STRONG_TREND,DOWN,119.46214,279.3,0.023379792124935985,PERIOD_M5,STRONG_TREND,UP,0.13082687389294037,False,FAIL,MINUS_1R_FIRST,VALIDATION
w3__BUY__seq855,w3,1588,1589,1586,2026-06-12 11:00:00,BUY,Equal-Low,PERIOD_M30,WEAK_TREND,DOWN,15.01857,2475.0,1.647959825735739,False,True,PERIOD_D1,STRONG_TREND,DOWN,119.46214,399.9,0.033475040711643034,PERIOD_M15,STRONG_TREND,DOWN,0.1384368667159986,False,AMBIGUOUS,AMBIGUOUS_SAME_BAR,VALIDATION
w3__BUY__seq858,w3,1607,1608,1606,2026-06-12 18:00:00,BUY,Equal-Low,PERIOD_M30,WEAK_TREND,DOWN,17.675,1164.0000000000327,0.658557284299877,False,True,PERIOD_D1,STRONG_TREND,DOWN,119.46214,79.1,0.0066213446368866315,PERIOD_M5,RANGING,DOWN,0.010813743699097147,True,FAIL,MINUS_1R_FIRST,VALIDATION
w3__SELL__seq567,w3,2059,2060,2058,2026-06-30 04:00:00,SELL,Asia-High,PERIOD_H4,STRONG_TREND,UP,34.69286,11755.999999999995,3.3885935031012124,False,True,PERIOD_M15,VOLATILE,UP,10.56143,1176.3,1.1137696315745123,PERIOD_D1,STRONG_TREND,DOWN,0.04924388398638296,True,FAIL,MINUS_1R_FIRST,VALIDATION
w4__SELL__seq103,w4,381,383,379,2026-07-14 16:00:00,SELL,Daily-High,PERIOD_H1,WEAK_TREND,UP,17.57571,2050.0,1.166382467621507,False,False,PERIOD_D1,WEAK_TREND,DOWN,104.02643,1013.4,0.09741755052057444,PERIOD_M15,WEAK_TREND,UP,0.08264775264055173,False,AMBIGUOUS,AMBIGUOUS_SAME_BAR,VALIDATION
w4__BUY__seq462,w4,1051,1052,1047,2026-08-10 06:00:00,BUY,Asia-Low,PERIOD_M15,WEAK_TREND,DOWN,9.52286,7313.999999999942,7.68046574243446,False,True,PERIOD_M30,RANGING,UP,12.28214,725.4,0.5906136878426723,PERIOD_D1,WEAK_TREND,DOWN,0.11675285848209044,True,AMBIGUOUS,AMBIGUOUS_SAME_BAR,VALIDATION
w4__BUY__seq471,w4,1081,1082,1047,2026-08-10 17:15:00,BUY,Asia-Low,PERIOD_M15,STRONG_TREND,UP,8.35571,1722.9999999999563,2.0620629485704463,True,False,PERIOD_M30,STRONG_TREND,UP,9.55214,44.6,0.046691107961147976,PERIOD_D1,WEAK_TREND,DOWN,0.11675285848209044,True,AMBIGUOUS,AMBIGUOUS_SAME_BAR,VALIDATION
w4__BUY__seq475,w4,1097,1099,1047,2026-08-10 21:00:00,BUY,Asia-Low,PERIOD_H1,WEAK_TREND,UP,15.98,4737.99999999992,2.964956195244005,True,True,PERIOD_M5,STRONG_TREND,UP,3.58857,468.2,1.3046979716154348,PERIOD_D1,WEAK_TREND,DOWN,0.11675285848209044,True,HOLD,PLUS_1R_FIRST,VALIDATION
w4__BUY__seq495,w4,1240,1241,1238,2026-08-13 00:00:00,BUY,Asia-Low,PERIOD_H4,STRONG_TREND,UP,36.98286,7403.999999999996,2.0020084979906896,True,False,PERIOD_M15,STRONG_TREND,UP,7.095,736.6,1.0381959126145173,PERIOD_D1,STRONG_TREND,UP,0.045586604712072334,False,FAIL,MINUS_1R_FIRST,VALIDATION
w4__BUY__seq545,w4,1397,1399,1392,2026-08-18 17:00:00,BUY,Equal-Low,PERIOD_H1,WEAK_TREND,DOWN,13.97071,659.0000000000146,0.4717011519099706,False,True,PERIOD_M15,RANGING,UP,8.325,124.5,0.14954954954954958,PERIOD_M15,RANGING,UP,0.11165737226754789,False,HOLD,PLUS_1R_FIRST,VALIDATION
w4__BUY__seq581,w4,1491,1493,1479,2026-08-20 14:00:00,BUY,Asia-Low,PERIOD_H1,RANGING,DOWN,14.51214,698.9999999999782,0.4816656950663225,False,True,PERIOD_M30,WEAK_TREND,UP,9.16429,158.9,0.17339040994992524,PERIOD_D1,STRONG_TREND,UP,0.18425472018638062,True,HOLD,PLUS_1R_FIRST,VALIDATION
w4__BUY__seq615,w4,1622,1625,1581,2026-08-24 20:00:00,BUY,Asia-Low,PERIOD_H1,STRONG_TREND,UP,20.69571,5075.0,2.452199030620356,True,False,PERIOD_H1,STRONG_TREND,UP,21.34857,544.0,0.25481800420356027,PERIOD_D1,STRONG_TREND,UP,0.08008255064415097,False,AMBIGUOUS,AMBIGUOUS_SAME_BAR,VALIDATION
