episode_id,window_id,outcome,side,source_tf,direction,regime_at_event,structure_trend_at_event,consumer,penetration_pips,atr_at_event,penetration_per_atr,age_seconds,age_valid,timestamp
Equal-Low_2026.02.25 01:55__ep1,w1,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_M5,BUY,STRONG_TREND,UP,DETECTOR,2.2,7.37357,0.00298362936813511,,False,2026-02-25 02:00:00
Equal-High_2026.02.25 03:45__ep1,w1,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M15,SELL,WEAK_TREND,DOWN,DETECTOR,46.5,14.24214,0.03264958777262406,,False,2026-02-25 04:00:00
Equal-High_2026.02.25 08:00__ep1,w1,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M30,SELL,RANGING,UP,DETECTOR,41.8,17.29,0.024175824175824177,,False,2026-02-25 08:30:00
Equal-High_2026.02.25 08:25__ep1,w1,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M5,SELL,WEAK_TREND,UP,DETECTOR,3.2,6.73429,0.0047518001155281405,,False,2026-02-25 08:30:00
Equal-High_2026.02.25 09:00__ep1,w1,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M30,SELL,RANGING,UP,DETECTOR,45.0,16.09,0.027967681789931635,,False,2026-02-25 09:30:00
Equal-High_2026.02.25 10:00__ep1,w1,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M30,SELL,RANGING,UP,DETECTOR,5.7,13.15786,0.004332011436510193,,False,2026-02-25 10:30:00
Equal-High_2026.02.25 12:00__ep1,w1,INVALIDATED_NO_BREAK,Equal-High,PERIOD_H1,SELL,RANGING,UP,DETECTOR,15.3,22.62857,0.006761364063217428,,False,2026-02-25 13:00:00
Equal-High_2026.02.25 17:00__ep2,w1,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M30,SELL,RANGING,UP,DETECTOR,167.3,15.82214,0.10573790903126885,,False,2026-02-25 17:30:00
Equal-Low_2026.02.25 17:15__ep1,w1,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_M15,BUY,RANGING,UP,DETECTOR,0.1,10.71571,9.332092787132164e-05,,False,2026-02-25 17:30:00
Asia-Low_2026.02.26__ep1,w1,INVALIDATED_NO_BREAK,Asia-Low,PERIOD_D1,BUY,STRONG_TREND,UP,DETECTOR,279.7,142.31143,0.019654078382881825,0.0,True,2026-02-26 00:00:00
Asia-Low_2026.02.26__ep3,w1,INVALIDATED_NO_BREAK,Asia-Low,PERIOD_H1,BUY,WEAK_TREND,DOWN,DETECTOR,92.9,19.14071,0.048535294667752665,61200.0,True,2026-02-26 17:00:00
Asia-Low_2026.02.26__ep4,w1,INVALIDATED_NO_BREAK,Asia-Low,PERIOD_M15,BUY,VOLATILE,DOWN,DETECTOR,202.5,16.13214,0.12552581368621893,63900.0,True,2026-02-26 17:45:00
Equal-Low_2026.02.26 02:00__ep1,w1,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_M15,BUY,STRONG_TREND,DOWN,DETECTOR,86.8,14.62857,0.05933594329452571,,False,2026-02-26 02:15:00
Equal-High_2026.02.26 11:40__ep1,w1,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M5,SELL,WEAK_TREND,UP,DETECTOR,9.5,5.24071,0.018127314810397827,,False,2026-02-26 11:45:00
Equal-Low_2026.02.26 16:00__ep1,w1,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_M15,BUY,WEAK_TREND,DOWN,DETECTOR,2.2,9.96786,0.002207093598826629,,False,2026-02-26 16:15:00
Equal-Low_2026.02.26 16:15__ep1,w1,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_M15,BUY,WEAK_TREND,DOWN,DETECTOR,43.8,9.94929,0.04402324185946937,,False,2026-02-26 16:30:00
