episode_id,window_id,outcome,side,source_tf,direction,regime_at_event,structure_trend_at_event,consumer,penetration_pips,atr_at_event,penetration_per_atr,age_seconds,age_valid,timestamp
Weekly-Low_2026.03.08__ep13,w2,INVALIDATED_NO_BREAK,Weekly-Low,PERIOD_H1,BUY,STRONG_TREND,DOWN,DETECTOR,24.6,28.33143,0.008682936230186757,723600.0,True,2026-03-16 09:00:00
Weekly-Low_2026.03.08__ep20,w2,INVALIDATED_NO_BREAK,Weekly-Low,PERIOD_M15,BUY,WEAK_TREND,UP,DETECTOR,21.2,11.755,0.018034878774989365,767700.0,True,2026-03-16 21:15:00
Weekly-Low_2026.03.08__ep26,w2,INVALIDATED_NO_BREAK,Weekly-Low,PERIOD_H1,BUY,RANGING,UP,DETECTOR,31.3,23.84,0.013129194630872483,784800.0,True,2026-03-17 02:00:00
Weekly-Low_2026.03.08__ep27,w2,INVALIDATED_NO_BREAK,Weekly-Low,PERIOD_M15,BUY,RANGING,DOWN,DETECTOR,5.8,8.68786,0.006675982347781846,789300.0,True,2026-03-17 03:15:00
Asia-Low_2026.03.16__ep1,w2,INVALIDATED_NO_BREAK,Asia-Low,PERIOD_H1,BUY,STRONG_TREND,DOWN,DETECTOR,8.0,30.09786,0.0026579962827921987,7200.0,True,2026-03-16 02:00:00
Asia-Low_2026.03.16__ep2,w2,INVALIDATED_NO_BREAK,Asia-Low,PERIOD_M15,BUY,STRONG_TREND,UP,DETECTOR,26.0,11.50357,0.022601679304772346,40500.0,True,2026-03-16 11:15:00
Asia-Low_2026.03.16__ep7,w2,INVALIDATED_NO_BREAK,Asia-Low,PERIOD_M15,BUY,STRONG_TREND,UP,DETECTOR,43.9,14.53143,0.03021037846929036,67500.0,True,2026-03-16 18:45:00
Equal-High_2026.03.16 02:45__ep1,w2,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M15,SELL,STRONG_TREND,DOWN,DETECTOR,35.9,19.665,0.0182557843885075,,False,2026-03-16 03:00:00
Asia-High_2026.03.16__ep1,w2,INVALIDATED_NO_BREAK,Asia-High,PERIOD_D1,SELL,WEAK_TREND,DOWN,DETECTOR,1028.0,142.63857,0.07207026823109626,0.0,True,2026-03-16 00:00:00
Equal-High_2026.03.16 08:30__ep1,w2,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M15,SELL,RANGING,UP,DETECTOR,37.8,8.27071,0.04570345230336936,,False,2026-03-16 08:45:00
Equal-Low_2026.03.16 10:15__ep1,w2,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_M15,BUY,WEAK_TREND,UP,DETECTOR,1.0,10.55429,0.0009474820191599815,,False,2026-03-16 10:30:00
Equal-Low_2026.03.16 13:45__ep1,w2,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_M15,BUY,STRONG_TREND,UP,DETECTOR,0.8,12.63857,0.0006329830036151242,,False,2026-03-16 14:00:00
Equal-Low_2026.03.16 14:00__ep1,w2,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_M15,BUY,WEAK_TREND,DOWN,DETECTOR,87.3,12.54929,0.06956568857680395,,False,2026-03-16 14:15:00
Equal-High_2026.03.16 15:15__ep1,w2,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M15,SELL,WEAK_TREND,UP,DETECTOR,48.5,13.01357,0.037268789425192315,,False,2026-03-16 15:30:00
Asia-Low_2026.03.17__ep1,w2,INVALIDATED_NO_BREAK,Asia-Low,PERIOD_D1,BUY,WEAK_TREND,UP,DETECTOR,236.2,136.535,0.0172995935108214,0.0,True,2026-03-17 00:00:00
Asia-Low_2026.03.17__ep3,w2,INVALIDATED_NO_BREAK,Asia-Low,PERIOD_H1,BUY,RANGING,UP,DETECTOR,54.3,17.68071,0.0307114363620013,46800.0,True,2026-03-17 13:00:00
Asia-Low_2026.03.17__ep7,w2,INVALIDATED_NO_BREAK,Asia-Low,PERIOD_H4,BUY,STRONG_TREND,DOWN,DETECTOR,76.8,46.86357,0.016387996048956577,72000.0,True,2026-03-17 20:00:00
Equal-High_2026.03.17 11:10__ep1,w2,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M5,SELL,WEAK_TREND,UP,DETECTOR,31.4,5.47643,0.05733662258076886,,False,2026-03-17 11:15:00
Equal-High_2026.03.17 14:10__ep1,w2,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M5,SELL,WEAK_TREND,UP,DETECTOR,15.7,3.99929,0.03925696811183985,,False,2026-03-17 14:15:00
Equal-High_2026.03.17 17:10__ep1,w2,TRUE_BREAK_OBSERVED,Equal-High,PERIOD_M5,SELL,RANGING,DOWN,DETECTOR,31.1,7.01,0.044365192582025675,,False,2026-03-17 17:15:00
Asia-Low_2026.03.18__ep1,w2,INVALIDATED_NO_BREAK,Asia-Low,PERIOD_D1,BUY,STRONG_TREND,DOWN,DETECTOR,107.7,134.77214,0.007991265850642424,0.0,True,2026-03-18 00:00:00
Equal-High_2026.03.18 03:30__ep1,w2,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M15,SELL,WEAK_TREND,DOWN,DETECTOR,47.1,6.99643,0.06732004750994436,,False,2026-03-18 03:45:00
Daily-Low_2026.03.18__ep2,w2,INVALIDATED_NO_BREAK,Daily-Low,PERIOD_H1,BUY,VOLATILE,DOWN,DETECTOR,277.1,34.07143,0.08132913705118923,90000.0,True,2026-03-19 01:00:00
Daily-Low_2026.03.18__ep3,w2,INVALIDATED_NO_BREAK,Daily-Low,PERIOD_H4,BUY,STRONG_TREND,UP,DETECTOR,431.7,46.935,0.091978267817194,100800.0,True,2026-03-19 04:00:00
Equal-High_2026.03.19 01:25__ep1,w2,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M5,SELL,RANGING,DOWN,DETECTOR,19.6,8.21786,0.02385049149048536,,False,2026-03-19 01:30:00
Asia-High_2026.03.19__ep1,w2,TRUE_BREAK_OBSERVED,Asia-High,PERIOD_D1,SELL,STRONG_TREND,DOWN,DETECTOR,1960.1,144.35429,0.1357839798179881,0.0,True,2026-03-19 00:00:00
Asia-Low_2026.03.20__ep2,w2,INVALIDATED_NO_BREAK,Asia-Low,PERIOD_D1,BUY,STRONG_TREND,DOWN,DETECTOR,75.4,162.25143,0.004647108503142315,0.0,True,2026-03-20 00:00:00
Asia-Low_2026.03.20__ep3,w2,INVALIDATED_NO_BREAK,Asia-Low,PERIOD_H4,BUY,VOLATILE,DOWN,DETECTOR,380.4,77.40786,0.04914229640245835,14400.0,True,2026-03-20 04:00:00
Weekly-Low_2026.03.15__ep3,w2,INVALIDATED_NO_BREAK,Weekly-Low,PERIOD_H1,BUY,WEAK_TREND,DOWN,DETECTOR,208.3,51.62214,0.040350903701396344,694800.0,True,2026-03-23 01:00:00
Weekly-Low_2026.03.15__ep5,w2,TRUE_BREAK_OBSERVED,Weekly-Low,PERIOD_M15,BUY,WEAK_TREND,UP,DETECTOR,12.5,60.68071,0.002059962713026924,745200.0,True,2026-03-23 15:00:00
Weekly-Low_2026.03.15__ep15,w2,INVALIDATED_NO_BREAK,Weekly-Low,PERIOD_H1,BUY,WEAK_TREND,UP,DETECTOR,324.6,30.07,0.1079481210508813,1098000.0,True,2026-03-27 17:00:00
Monthly-Low_2026.02.01__ep1,w2,INVALIDATED_NO_BREAK,Monthly-Low,PERIOD_M15,BUY,VOLATILE,DOWN,DETECTOR,48.9,42.70714,0.011450076029441446,4331700.0,True,2026-03-23 03:15:00
Monthly-Low_2026.02.01__ep4,w2,INVALIDATED_NO_BREAK,Monthly-Low,PERIOD_M15,BUY,WEAK_TREND,DOWN,DETECTOR,91.7,55.24143,0.01659985992397373,4369500.0,True,2026-03-23 13:45:00
Monthly-Low_2026.02.01__ep10,w2,INVALIDATED_NO_BREAK,Monthly-Low,PERIOD_H1,BUY,WEAK_TREND,DOWN,DETECTOR,230.8,94.13071,0.02451909690259428,4392000.0,True,2026-03-23 20:00:00
Monthly-Low_2026.02.01__ep13,w2,INVALIDATED_NO_BREAK,Monthly-Low,PERIOD_H1,BUY,WEAK_TREND,DOWN,DETECTOR,458.6,96.49643,0.04752507424367928,4395600.0,True,2026-03-23 21:00:00
Monthly-Low_2026.02.01__ep20,w2,INVALIDATED_NO_BREAK,Monthly-Low,PERIOD_H1,BUY,WEAK_TREND,DOWN,DETECTOR,36.6,86.72286,0.004220340519212582,4406400.0,True,2026-03-24 00:00:00
Monthly-Low_2026.02.01__ep27,w2,INVALIDATED_NO_BREAK,Monthly-Low,PERIOD_H1,BUY,RANGING,UP,DETECTOR,141.3,56.02929,0.025218952444337594,4442400.0,True,2026-03-24 10:00:00
Monthly-Low_2026.02.01__ep29,w2,INVALIDATED_NO_BREAK,Monthly-Low,PERIOD_H1,BUY,RANGING,UP,DETECTOR,88.4,53.29,0.016588478138487524,4446000.0,True,2026-03-24 11:00:00
Monthly-Low_2026.02.01__ep31,w2,INVALIDATED_NO_BREAK,Monthly-Low,PERIOD_H1,BUY,WEAK_TREND,UP,DETECTOR,231.7,51.14357,0.04530383780404848,4449600.0,True,2026-03-24 12:00:00
Monthly-Low_2026.02.01__ep34,w2,INVALIDATED_NO_BREAK,Monthly-Low,PERIOD_H1,BUY,WEAK_TREND,UP,DETECTOR,47.9,51.57929,0.009286673003835453,4456800.0,True,2026-03-24 14:00:00
Monthly-Low_2026.02.01__ep52,w2,INVALIDATED_NO_BREAK,Monthly-Low,PERIOD_H1,BUY,WEAK_TREND,DOWN,DETECTOR,81.8,40.28929,0.02030316245334678,4669200.0,True,2026-03-27 01:00:00
Asia-High_2026.03.24__ep1,w2,INVALIDATED_NO_BREAK,Asia-High,PERIOD_H4,SELL,STRONG_TREND,DOWN,DETECTOR,1245.4,123.03929,0.10121969982108968,14400.0,True,2026-03-24 04:00:00
Asia-Low_2026.03.25__ep1,w2,INVALIDATED_NO_BREAK,Asia-Low,PERIOD_H1,BUY,WEAK_TREND,UP,DETECTOR,186.7,35.47643,0.05262649032047475,43200.0,True,2026-03-25 12:00:00
Asia-Low_2026.03.25__ep11,w2,INVALIDATED_NO_BREAK,Asia-Low,PERIOD_H1,BUY,RANGING,UP,DETECTOR,49.7,32.345,0.015365589735662393,75600.0,True,2026-03-25 21:00:00
Asia-Low_2026.03.26__ep4,w2,INVALIDATED_NO_BREAK,Asia-Low,PERIOD_M15,BUY,WEAK_TREND,DOWN,DETECTOR,37.9,21.38214,0.01772507335561361,38700.0,True,2026-03-26 10:45:00
Asia-Low_2026.03.27__ep1,w2,INVALIDATED_NO_BREAK,Asia-Low,PERIOD_D1,BUY,STRONG_TREND,DOWN,DETECTOR,28.3,183.05786,0.001545959293963122,0.0,True,2026-03-27 00:00:00
Daily-High_2026.03.27__ep1,w2,INVALIDATED_NO_BREAK,Daily-High,PERIOD_M15,SELL,STRONG_TREND,UP,DETECTOR,112.5,15.57214,0.07224440571430774,319500.0,True,2026-03-30 16:45:00
Daily-High_2026.03.27__ep4,w2,INVALIDATED_NO_BREAK,Daily-High,PERIOD_H4,SELL,WEAK_TREND,DOWN,DETECTOR,156.1,67.64571,0.023076112291525952,331200.0,True,2026-03-30 20:00:00
Equal-Low_2026.03.30 17:00__ep1,w2,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_M15,BUY,STRONG_TREND,UP,DETECTOR,100.0,17.78429,0.05622940246700881,,False,2026-03-30 17:15:00
Equal-Low_2026.03.31 03:15__ep1,w2,TRUE_BREAK_OBSERVED,Equal-Low,PERIOD_M15,BUY,RANGING,DOWN,DETECTOR,197.6,13.77714,0.14342599407424184,,False,2026-03-31 03:30:00
Weekly-High_2026.03.22__ep5,w2,INVALIDATED_NO_BREAK,Weekly-High,PERIOD_H1,SELL,RANGING,UP,DETECTOR,32.5,33.33286,0.009750138451966019,842400.0,True,2026-03-31 18:00:00
Weekly-High_2026.03.22__ep8,w2,INVALIDATED_NO_BREAK,Weekly-High,PERIOD_M15,SELL,RANGING,DOWN,DETECTOR,22.7,15.18571,0.014948263861222163,1003500.0,True,2026-04-02 14:45:00
Weekly-High_2026.03.22__ep9,w2,INVALIDATED_NO_BREAK,Weekly-High,PERIOD_H1,SELL,STRONG_TREND,DOWN,DETECTOR,22.6,45.36571,0.004981736205605511,1004400.0,True,2026-04-02 15:00:00
Daily-High_2026.03.30__ep3,w2,INVALIDATED_NO_BREAK,Daily-High,PERIOD_H4,SELL,RANGING,UP,DETECTOR,121.6,65.415,0.01858900863716273,129600.0,True,2026-03-31 12:00:00
Equal-High_2026.03.31 14:10__ep1,w2,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M5,SELL,RANGING,DOWN,DETECTOR,110.3,8.43286,0.13079785505747754,,False,2026-03-31 14:15:00
Daily-High_2026.03.31__ep1,w2,INVALIDATED_NO_BREAK,Daily-High,PERIOD_M15,SELL,STRONG_TREND,UP,DETECTOR,25.8,12.66214,0.02037570268532807,92700.0,True,2026-04-01 01:45:00
Daily-High_2026.03.31__ep9,w2,INVALIDATED_NO_BREAK,Daily-High,PERIOD_H1,SELL,STRONG_TREND,UP,DETECTOR,28.2,27.22857,0.01035676864411168,118800.0,True,2026-04-01 09:00:00
Asia-High_2026.04.01__ep7,w2,INVALIDATED_NO_BREAK,Asia-High,PERIOD_H1,SELL,STRONG_TREND,UP,DETECTOR,18.0,28.35643,0.006347766626475899,50400.0,True,2026-04-01 14:00:00
Equal-High_2026.04.01 22:55__ep1,w2,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M5,SELL,STRONG_TREND,UP,DETECTOR,1.8,6.44,0.0027950310559006213,,False,2026-04-01 23:00:00
Daily-Low_2026.04.01__ep1,w2,INVALIDATED_NO_BREAK,Daily-Low,PERIOD_M15,BUY,WEAK_TREND,UP,DETECTOR,280.9,22.95714,0.12235844708879241,103500.0,True,2026-04-02 04:45:00
Daily-Low_2026.04.01__ep4,w2,INVALIDATED_NO_BREAK,Daily-Low,PERIOD_H1,BUY,STRONG_TREND,UP,DETECTOR,249.7,36.76143,0.06792445234040134,108000.0,True,2026-04-02 06:00:00
Daily-Low_2026.04.01__ep6,w2,INVALIDATED_NO_BREAK,Daily-Low,PERIOD_H1,BUY,WEAK_TREND,UP,DETECTOR,109.2,35.69929,0.03058884364366911,115200.0,True,2026-04-02 08:00:00
Daily-Low_2026.04.01__ep7,w2,TRUE_BREAK_OBSERVED,Daily-Low,PERIOD_M30,BUY,WEAK_TREND,DOWN,DETECTOR,35.2,28.91286,0.012174513348039593,149400.0,True,2026-04-02 17:30:00
Asia-High_2026.04.06__ep1,w2,INVALIDATED_NO_BREAK,Asia-High,PERIOD_D1,SELL,STRONG_TREND,DOWN,DETECTOR,1226.5,203.69071,0.06021384087668996,0.0,True,2026-04-06 00:00:00
Asia-High_2026.04.06__ep11,w2,INVALIDATED_NO_BREAK,Asia-High,PERIOD_H4,SELL,WEAK_TREND,UP,DETECTOR,185.0,68.22857,0.027114740936238294,72000.0,True,2026-04-06 20:00:00
Equal-Low_2026.04.06 05:15__ep1,w2,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_M15,BUY,WEAK_TREND,DOWN,DETECTOR,182.2,19.405,0.09389332646225199,,False,2026-04-06 05:30:00
Equal-Low_2026.04.06 07:00__ep1,w2,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_M15,BUY,WEAK_TREND,UP,DETECTOR,5.5,15.77,0.0034876347495244138,,False,2026-04-06 07:15:00
Equal-Low_2026.04.06 07:15__ep1,w2,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_M15,BUY,WEAK_TREND,UP,DETECTOR,37.3,15.41714,0.024193851777956223,,False,2026-04-06 07:30:00
Equal-Low_2026.04.06 18:15__ep1,w2,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_M15,BUY,WEAK_TREND,UP,DETECTOR,74.8,16.76143,0.0446262639882158,,False,2026-04-06 18:30:00
Asia-High_2026.04.07__ep1,w2,INVALIDATED_NO_BREAK,Asia-High,PERIOD_D1,SELL,WEAK_TREND,DOWN,DETECTOR,284.1,206.195,0.013778219646451177,0.0,True,2026-04-07 00:00:00
Asia-High_2026.04.07__ep3,w2,INVALIDATED_NO_BREAK,Asia-High,PERIOD_M15,SELL,RANGING,UP,DETECTOR,21.1,16.185,0.013036762434352799,49500.0,True,2026-04-07 13:45:00
Asia-High_2026.04.07__ep4,w2,TRUE_BREAK_OBSERVED,Asia-High,PERIOD_H1,SELL,RANGING,DOWN,DETECTOR,123.9,25.43071,0.048720621642101225,50400.0,True,2026-04-07 14:00:00
Asia-High_2026.04.07__ep6,w2,TRUE_BREAK_OBSERVED,Asia-High,PERIOD_M15,SELL,RANGING,UP,DETECTOR,77.2,16.81786,0.04590358107392974,56700.0,True,2026-04-07 15:45:00
Equal-High_2026.04.07 01:55__ep1,w2,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M5,SELL,STRONG_TREND,UP,DETECTOR,0.2,4.71143,0.0004244995680716895,,False,2026-04-07 02:00:00
Equal-Low_2026.04.07 14:00__ep1,w2,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_M30,BUY,WEAK_TREND,UP,DETECTOR,23.2,21.16357,0.01096223368741663,,False,2026-04-07 14:30:00
Daily-High_2026.04.06__ep1,w2,INVALIDATED_NO_BREAK,Daily-High,PERIOD_H1,SELL,WEAK_TREND,UP,DETECTOR,58.7,33.15429,0.01770509940040942,169200.0,True,2026-04-07 23:00:00
Asia-Low_2026.04.08__ep2,w2,INVALIDATED_NO_BREAK,Asia-Low,PERIOD_M15,BUY,WEAK_TREND,UP,DETECTOR,35.5,13.745,0.025827573663150236,49500.0,True,2026-04-08 13:45:00
Asia-Low_2026.04.08__ep3,w2,INVALIDATED_NO_BREAK,Asia-Low,PERIOD_M30,BUY,WEAK_TREND,DOWN,DETECTOR,17.6,17.85786,0.009855604198935372,52200.0,True,2026-04-08 14:30:00
Weekly-High_2026.03.29__ep4,w2,INVALIDATED_NO_BREAK,Weekly-High,PERIOD_H1,SELL,STRONG_TREND,DOWN,DETECTOR,27.9,38.875,0.00717684887459807,889200.0,True,2026-04-08 07:00:00
Weekly-High_2026.03.29__ep6,w2,INVALIDATED_NO_BREAK,Weekly-High,PERIOD_M15,SELL,WEAK_TREND,UP,DETECTOR,68.0,14.25214,0.04771213305510611,906300.0,True,2026-04-08 11:45:00
Weekly-High_2026.03.29__ep7,w2,TRUE_BREAK_OBSERVED,Weekly-High,PERIOD_H1,SELL,WEAK_TREND,DOWN,DETECTOR,64.5,36.04071,0.01789642878844507,907200.0,True,2026-04-08 12:00:00
Weekly-High_2026.03.29__ep17,w2,INVALIDATED_NO_BREAK,Weekly-High,PERIOD_H4,SELL,WEAK_TREND,UP,DETECTOR,397.6,56.79357,0.07000792519293998,936000.0,True,2026-04-08 20:00:00
Weekly-High_2026.03.29__ep21,w2,INVALIDATED_NO_BREAK,Weekly-High,PERIOD_H1,SELL,STRONG_TREND,UP,DETECTOR,114.4,22.15071,0.05164620005408405,1022400.0,True,2026-04-09 20:00:00
Weekly-High_2026.03.29__ep24,w2,INVALIDATED_NO_BREAK,Weekly-High,PERIOD_D1,SELL,WEAK_TREND,DOWN,DETECTOR,346.5,186.68929,0.018560250563918263,1036800.0,True,2026-04-10 00:00:00
Equal-Low_2026.04.08 16:45__ep1,w2,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_M15,BUY,RANGING,DOWN,DETECTOR,85.0,15.29571,0.05557113726659305,,False,2026-04-08 17:00:00
Daily-High_2026.04.07__ep2,w2,INVALIDATED_NO_BREAK,Daily-High,PERIOD_H1,SELL,STRONG_TREND,DOWN,DETECTOR,134.6,31.97214,0.042099152574710356,165600.0,True,2026-04-08 22:00:00
Daily-Low_2026.04.08__ep7,w2,INVALIDATED_NO_BREAK,Daily-Low,PERIOD_H4,BUY,RANGING,UP,DETECTOR,212.4,58.23,0.03647604327666152,115200.0,True,2026-04-09 08:00:00
Equal-High_2026.04.09 10:40__ep1,w2,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M5,SELL,RANGING,UP,DETECTOR,6.9,8.76357,0.007873503606406979,,False,2026-04-09 10:45:00
Asia-High_2026.04.10__ep2,w2,INVALIDATED_NO_BREAK,Asia-High,PERIOD_H4,SELL,WEAK_TREND,UP,DETECTOR,15.2,53.72,0.002829486224869695,14400.0,True,2026-04-10 04:00:00
Asia-High_2026.04.10__ep4,w2,INVALIDATED_NO_BREAK,Asia-High,PERIOD_H1,SELL,WEAK_TREND,DOWN,DETECTOR,53.0,17.61929,0.03008066726865839,57600.0,True,2026-04-10 16:00:00
Asia-High_2026.04.10__ep13,w2,INVALIDATED_NO_BREAK,Asia-High,PERIOD_H4,SELL,RANGING,UP,DETECTOR,132.5,43.66143,0.03034715079190031,72000.0,True,2026-04-10 20:00:00
Equal-High_2026.04.10 20:25__ep1,w2,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M5,SELL,RANGING,UP,DETECTOR,32.6,5.855,0.05567890691716482,,False,2026-04-10 20:30:00
Equal-Low_2026.04.10 21:10__ep1,w2,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_M5,BUY,RANGING,UP,DETECTOR,53.8,5.80071,0.092747267144884,,False,2026-04-10 21:15:00
Equal-Low_2026.04.10 23:15__ep1,w2,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_M15,BUY,WEAK_TREND,UP,DETECTOR,41.8,7.42357,0.05630714063449257,,False,2026-04-10 23:30:00
Asia-Low_2026.04.13__ep1,w2,INVALIDATED_NO_BREAK,Asia-Low,PERIOD_D1,BUY,WEAK_TREND,DOWN,DETECTOR,113.2,172.83571,0.00654957242343032,0.0,True,2026-04-13 00:00:00
Asia-Low_2026.04.13__ep3,w2,INVALIDATED_NO_BREAK,Asia-Low,PERIOD_H4,BUY,RANGING,UP,DETECTOR,512.1,45.46,0.11264848218213815,14400.0,True,2026-04-13 04:00:00
Asia-High_2026.04.13__ep1,w2,INVALIDATED_NO_BREAK,Asia-High,PERIOD_D1,SELL,WEAK_TREND,DOWN,DETECTOR,277.1,172.83571,0.016032566418131996,0.0,True,2026-04-13 00:00:00
Asia-High_2026.04.13__ep2,w2,INVALIDATED_NO_BREAK,Asia-High,PERIOD_M5,SELL,RANGING,UP,DETECTOR,7.1,4.54929,0.015606830956039293,41400.0,True,2026-04-13 11:30:00
Asia-High_2026.04.13__ep6,w2,INVALIDATED_NO_BREAK,Asia-High,PERIOD_M30,SELL,RANGING,DOWN,DETECTOR,23.3,16.34643,0.014253876840386554,70200.0,True,2026-04-13 19:30:00
Asia-High_2026.04.13__ep7,w2,INVALIDATED_NO_BREAK,Asia-High,PERIOD_H1,SELL,RANGING,UP,DETECTOR,28.8,20.23071,0.014235783123775688,75600.0,True,2026-04-13 21:00:00
Asia-High_2026.04.13__ep9,w2,INVALIDATED_NO_BREAK,Asia-High,PERIOD_M30,SELL,WEAK_TREND,DOWN,DETECTOR,54.3,18.45214,0.02942748104013952,77400.0,True,2026-04-13 21:30:00
Daily-Low_2026.04.10__ep1,w2,INVALIDATED_NO_BREAK,Daily-Low,PERIOD_M30,BUY,WEAK_TREND,DOWN,DETECTOR,10.1,14.48571,0.006972388650608082,293400.0,True,2026-04-13 09:30:00
Daily-Low_2026.04.10__ep2,w2,INVALIDATED_NO_BREAK,Daily-Low,PERIOD_M30,BUY,WEAK_TREND,DOWN,DETECTOR,1.8,13.96643,0.0012888046551624145,297000.0,True,2026-04-13 10:30:00
Daily-Low_2026.04.10__ep4,w2,INVALIDATED_NO_BREAK,Daily-Low,PERIOD_H1,BUY,WEAK_TREND,DOWN,DETECTOR,30.1,25.07929,0.012001934664019597,298800.0,True,2026-04-13 11:00:00
Daily-Low_2026.04.10__ep10,w2,INVALIDATED_NO_BREAK,Daily-Low,PERIOD_H1,BUY,RANGING,DOWN,DETECTOR,24.5,19.30071,0.012693833542911117,331200.0,True,2026-04-13 20:00:00
Daily-Low_2026.04.10__ep13,w2,INVALIDATED_NO_BREAK,Daily-Low,PERIOD_M15,BUY,WEAK_TREND,DOWN,DETECTOR,28.8,11.28214,0.025527071991661158,337500.0,True,2026-04-13 21:45:00
Equal-Low_2026.04.13 13:55__ep1,w2,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_M5,BUY,STRONG_TREND,DOWN,DETECTOR,19.0,3.85,0.04935064935064935,,False,2026-04-13 14:00:00
Equal-Low_2026.04.13 15:00__ep1,w2,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_M15,BUY,RANGING,DOWN,DETECTOR,87.5,9.25,0.0945945945945946,,False,2026-04-13 15:15:00
Equal-Low_2026.04.13 15:15__ep1,w2,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_M15,BUY,RANGING,DOWN,DETECTOR,20.6,9.575,0.02151436031331593,,False,2026-04-13 15:30:00
Equal-High_2026.04.13 17:00__ep2,w2,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M30,SELL,RANGING,DOWN,DETECTOR,136.8,14.66357,0.09329242469603242,,False,2026-04-13 17:30:00
Equal-High_2026.04.13 17:55__ep1,w2,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M5,SELL,WEAK_TREND,UP,DETECTOR,10.9,9.06357,0.012026166289883566,,False,2026-04-13 18:00:00
Equal-Low_2026.04.13 18:25__ep1,w2,TRUE_BREAK_OBSERVED,Equal-Low,PERIOD_M5,BUY,STRONG_TREND,DOWN,DETECTOR,0.7,7.48,0.0009358288770053475,,False,2026-04-13 18:30:00
Equal-High_2026.04.13 20:25__ep1,w2,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M5,SELL,STRONG_TREND,UP,DETECTOR,30.5,8.16071,0.03737419905866034,,False,2026-04-13 20:30:00
Daily-High_2026.04.13__ep1,w2,INVALIDATED_NO_BREAK,Daily-High,PERIOD_M15,SELL,WEAK_TREND,UP,DETECTOR,17.4,7.74357,0.022470255967208922,90900.0,True,2026-04-14 01:15:00
Equal-Low_2026.04.14 08:25__ep1,w2,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_M5,BUY,STRONG_TREND,DOWN,DETECTOR,29.7,2.98071,0.09964068963434886,,False,2026-04-14 08:30:00
Asia-High_2026.04.14__ep3,w2,INVALIDATED_NO_BREAK,Asia-High,PERIOD_M30,SELL,STRONG_TREND,UP,DETECTOR,44.9,11.78857,0.03808774092192692,45000.0,True,2026-04-14 12:30:00
Asia-High_2026.04.14__ep5,w2,INVALIDATED_NO_BREAK,Asia-High,PERIOD_M15,SELL,WEAK_TREND,DOWN,DETECTOR,8.7,10.14357,0.008576861992375465,47700.0,True,2026-04-14 13:15:00
Asia-High_2026.04.14__ep8,w2,INVALIDATED_NO_BREAK,Asia-High,PERIOD_H4,SELL,WEAK_TREND,DOWN,DETECTOR,117.5,39.12357,0.03003304657524863,57600.0,True,2026-04-14 16:00:00
Equal-Low_2026.04.14 14:55__ep1,w2,INVALIDATED_NO_BREAK,Equal-Low,PERIOD_M5,BUY,WEAK_TREND,DOWN,DETECTOR,17.4,4.56214,0.03813999570377059,,False,2026-04-14 15:00:00
Equal-High_2026.04.14 23:10__ep1,w2,INVALIDATED_NO_BREAK,Equal-High,PERIOD_M5,SELL,WEAK_TREND,UP,DETECTOR,7.6,3.03857,0.025011765402804607,,False,2026-04-14 23:15:00
Asia-Low_2026.04.15__ep1,w2,INVALIDATED_NO_BREAK,Asia-Low,PERIOD_D1,BUY,WEAK_TREND,DOWN,DETECTOR,901.0,144.07,0.06253904352051086,0.0,True,2026-04-15 00:00:00
Asia-Low_2026.04.15__ep2,w2,INVALIDATED_NO_BREAK,Asia-Low,PERIOD_H1,BUY,WEAK_TREND,DOWN,DETECTOR,1.2,17.30357,0.0006934985092671628,39600.0,True,2026-04-15 11:00:00
