time,open,high,low,close,tick_volume
2019.01.02 00:00,1285.76,1288.65,1278.59,1284.4,33013
2019.01.03 00:00,1286.1,1294.91,1284.46,1293.75,55424
2019.01.04 00:00,1294.04,1298.47,1276.5,1284.78,59353
2019.01.07 00:00,1285.22,1294.98,1282.51,1288.69,43686
2019.01.08 00:00,1288.59,1290.13,1279.26,1284.88,40323
2019.01.09 00:00,1284.45,1293.85,1279.96,1292.79,47639
2019.01.10 00:00,1293.69,1296.98,1286.01,1286.1,40395
2019.01.11 00:00,1286.62,1295.05,1286.45,1287.39,33482
2019.01.14 00:00,1287.3,1295.74,1286.98,1291.41,32508
2019.01.15 00:00,1291.86,1294.54,1286.58,1289.03,39355
2019.01.16 00:00,1289.33,1294.91,1287.73,1293.13,34188
2019.01.17 00:00,1293.89,1295.28,1288.56,1291.55,33323
2019.01.18 00:00,1292.08,1292.35,1280.51,1281.38,31979
2019.01.21 00:00,1281.2,1283.42,1276.7,1279.98,18731
2019.01.22 00:00,1279.37,1285.36,1277.3,1284.65,30170
2019.01.23 00:00,1284.92,1286.42,1278.54,1282.35,25821
2019.01.24 00:00,1282.64,1284.66,1276.66,1280.68,30214
2019.01.25 00:00,1280.63,1303.92,1279.84,1302.59,36830
2019.01.28 00:00,1302.83,1304.3,1297.56,1302.81,27426
2019.01.29 00:00,1302.83,1311.93,1302.61,1311.42,32947
2019.01.30 00:00,1311.13,1323.26,1308.87,1319.56,42862
2019.01.31 00:00,1319.6,1326.2,1317.31,1320.96,40909
2019.02.01 00:00,1321.08,1323.45,1316.01,1317.3,37541
2019.02.04 00:00,1317.88,1318.81,1308.48,1311.7,28978
2019.02.05 00:00,1311.74,1316.72,1310.61,1314.81,26732
2019.02.06 00:00,1314.98,1315.69,1305.53,1306.04,25108
2019.02.07 00:00,1306.49,1311.85,1302.68,1309.74,31123
2019.02.08 00:00,1309.69,1315.55,1307.67,1313.69,24879
2019.02.11 00:00,1313.77,1314.74,1303.54,1307.79,27393
2019.02.12 00:00,1308.03,1314.63,1306.4,1310.32,28681
2019.02.13 00:00,1310.46,1318.06,1304.89,1305.73,34625
2019.02.14 00:00,1305.57,1314.3,1302.29,1312.04,38211
2019.02.15 00:00,1312.44,1322.52,1311.24,1320.87,36649
2019.02.18 00:00,1321.36,1327.56,1318.76,1326.18,21614
2019.02.19 00:00,1325.8,1341.76,1322.76,1340.74,37870
2019.02.20 00:00,1340.21,1346.61,1336.78,1338.07,42030
2019.02.21 00:00,1338.53,1341.38,1320.83,1322.94,44247
2019.02.22 00:00,1323.03,1333.0,1321.45,1327.57,40104
2019.02.25 00:00,1329.15,1332.46,1324.97,1326.99,36868
2019.02.26 00:00,1327.47,1330.1,1323.37,1328.59,34870
2019.02.27 00:00,1328.54,1329.76,1316.68,1319.39,28017
2019.02.28 00:00,1319.32,1327.17,1312.5,1312.76,41381
2019.03.01 00:00,1313.66,1315.12,1290.07,1293.33,43105
2019.03.04 00:00,1293.21,1296.91,1282.75,1286.24,37036
2019.03.05 00:00,1286.41,1289.5,1281.08,1287.42,34636
2019.03.06 00:00,1287.35,1290.81,1283.44,1285.91,33117
2019.03.07 00:00,1286.19,1288.94,1280.64,1285.17,35831
2019.03.08 00:00,1285.84,1300.7,1284.98,1298.16,41182
2019.03.11 00:00,1297.3,1298.99,1290.37,1293.0,29744
2019.03.12 00:00,1293.3,1302.14,1291.91,1300.96,29898
2019.03.13 00:00,1300.93,1311.14,1300.28,1308.64,28199
2019.03.14 00:00,1309.12,1310.24,1292.68,1295.77,31055
2019.03.15 00:00,1295.7,1306.31,1293.88,1301.91,30335
2019.03.18 00:00,1301.94,1306.62,1298.12,1303.23,25946
2019.03.19 00:00,1303.35,1310.82,1302.22,1306.06,30088
2019.03.20 00:00,1306.07,1316.89,1298.52,1312.13,37122
2019.03.21 00:00,1312.1,1320.3,1303.12,1308.95,38355
2019.03.22 00:00,1309.01,1314.87,1306.74,1313.06,39483
2019.03.25 00:00,1313.34,1324.38,1310.92,1321.66,33763
2019.03.26 00:00,1321.43,1323.16,1312.58,1315.13,31967
2019.03.27 00:00,1315.21,1319.24,1307.97,1309.12,49818
2019.03.28 00:00,1309.19,1312.19,1288.43,1289.86,40559
2019.03.29 00:00,1289.98,1299.66,1286.61,1291.79,36292
2019.04.01 00:00,1292.31,1296.92,1286.32,1287.24,35786
2019.04.02 00:00,1287.25,1292.51,1285.19,1292.06,25695
2019.04.03 00:00,1292.08,1294.47,1288.29,1289.42,27007
2019.04.04 00:00,1289.45,1294.34,1280.83,1291.75,27023
2019.04.05 00:00,1292.03,1293.48,1284.3,1291.34,27039
2019.04.08 00:00,1291.41,1303.61,1291.34,1297.26,23122
2019.04.09 00:00,1297.43,1306.1,1296.5,1303.9,32811
2019.04.10 00:00,1303.65,1310.48,1300.85,1307.89,33574
