episode_id,window_id,true_break_event_id,sweep_event_id,timestamp,direction,side,tb_source_tf,tb_regime_at_event,tb_structure_trend_at_event,tb_atr_at_event,tb_penetration_pips,tb_penetration_per_atr,sweep_penetration_per_atr,sweep_source_tf,sweep_regime_at_event,sweep_structure_trend_at_event,regime_changed_sweep_to_break,direction_trend_aligned_at_break,regime_category_same_sweep_to_break,plus1r_before_minus1r,continuation_1atr_before_failure,retest_outcome,period
w0__BUY__seq317,w0,1014,1011,2025-10-08 06:00:00,BUY,Asia-Low,PERIOD_H1,STRONG_TREND,UP,13.12714,579.1,0.44114711963154196,0.051524782681763366,PERIOD_D1,STRONG_TREND,UP,False,True,True,MINUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__SELL__seq418,w0,1048,1046,2025-10-08 16:45:00,SELL,Equal-High,PERIOD_M15,WEAK_TREND,DOWN,7.70714,106.4,0.13805380465386644,0.028669441341334416,PERIOD_M15,WEAK_TREND,DOWN,False,True,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,HOLD,DISCOVERY
w0__BUY__seq320,w0,1074,1073,2025-10-09 00:00:00,BUY,Asia-Low,PERIOD_D1,STRONG_TREND,UP,61.78643,571.4,0.09247985358597348,0.09247985358597348,PERIOD_D1,STRONG_TREND,UP,False,True,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__BUY__seq333,w0,1102,1073,2025-10-09 15:30:00,BUY,Asia-Low,PERIOD_M5,WEAK_TREND,DOWN,3.15643,398.9,1.2637695117585375,0.09247985358597348,PERIOD_D1,STRONG_TREND,UP,True,False,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__BUY__seq360,w0,1143,1142,2025-10-10 00:00:00,BUY,Equal-Low,PERIOD_D1,STRONG_TREND,UP,66.09857,154.1,0.023313666241190998,0.07627861122554902,PERIOD_M5,WEAK_TREND,DOWN,True,True,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__SELL__seq486,w0,1172,1171,2025-10-10 00:00:00,SELL,Equal-High,PERIOD_D1,STRONG_TREND,UP,66.09857,236.5,0.03577989659988106,0.020270178492504735,PERIOD_M5,STRONG_TREND,UP,False,False,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,FAIL,DISCOVERY
w0__BUY__seq365,w0,1194,1193,2025-10-13 08:15:00,BUY,Asia-Low,PERIOD_M15,STRONG_TREND,UP,6.49,1151.0,1.773497688751926,0.09333233220447079,PERIOD_D1,STRONG_TREND,UP,False,True,True,PLUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__BUY__seq367,w0,1227,1225,2025-10-14 00:00:00,BUY,Asia-Low,PERIOD_D1,STRONG_TREND,UP,71.30571,860.3,0.12064952442097553,0.12064952442097553,PERIOD_D1,STRONG_TREND,UP,False,True,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__BUY__seq369,w0,1233,1225,2025-10-14 03:00:00,BUY,Asia-Low,PERIOD_M30,STRONG_TREND,UP,9.54714,1033.4,1.0824183996463863,0.12064952442097553,PERIOD_D1,STRONG_TREND,UP,False,True,True,MINUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__BUY__seq371,w0,1236,1225,2025-10-14 05:00:00,BUY,Asia-Low,PERIOD_M30,STRONG_TREND,UP,10.34357,1012.0,0.9783856057434717,0.12064952442097553,PERIOD_D1,STRONG_TREND,UP,False,True,True,PLUS_1R_FIRST,CONTINUATION_FIRST,N/A_NO_RETEST,DISCOVERY
w0__SELL__seq523,w0,1242,1240,2025-10-14 09:00:00,SELL,Equal-High,PERIOD_H1,STRONG_TREND,UP,18.70429,288.1,0.15402883509611967,0.3280467436648628,PERIOD_M5,VOLATILE,UP,True,False,False,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__BUY__seq375,w0,1243,1225,2025-10-14 09:00:00,BUY,Asia-Low,PERIOD_M30,VOLATILE,UP,16.17071,655.9,0.4056098959167532,0.12064952442097553,PERIOD_D1,STRONG_TREND,UP,True,True,False,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,AMBIGUOUS,DISCOVERY
w0__SELL__seq527,w0,1250,1249,2025-10-14 09:45:00,SELL,Daily-High,PERIOD_M15,VOLATILE,UP,16.19357,185.2,0.11436638122415253,0.017065466606200137,PERIOD_M30,VOLATILE,UP,False,False,True,PLUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__BUY__seq381,w0,1270,1225,2025-10-14 16:00:00,BUY,Asia-Low,PERIOD_H4,STRONG_TREND,DOWN,39.63929,162.7,0.04104513476401822,0.12064952442097553,PERIOD_D1,STRONG_TREND,UP,False,False,True,MINUS_1R_FIRST,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__BUY__seq384,w0,1287,1225,2025-10-14 20:00:00,BUY,Asia-Low,PERIOD_H4,STRONG_TREND,DOWN,40.75071,499.9,0.12267270926077116,0.12064952442097553,PERIOD_D1,STRONG_TREND,UP,False,False,True,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
w0__SELL__seq548,w0,1292,1290,2025-10-14 00:00:00,SELL,Equal-High,PERIOD_D1,STRONG_TREND,UP,71.30571,344.9,0.048369197922578704,0.06929056394951486,PERIOD_M15,RANGING,UP,True,False,False,AMBIGUOUS_SAME_BAR,FAILURE_FIRST,N/A_NO_RETEST,DISCOVERY
