timestamp,open,high,low,close,tick_volume,spread,real_volume
2023.12.20 00:00:00,2039.75,2041.46,2037.53,2038.05,8033,26,0
2023.12.20 04:00:00,2037.98,2041.29,2036.60,2041.14,7984,26,0
2023.12.20 08:00:00,2041.16,2043.36,2039.50,2039.84,14305,26,0
2023.12.20 12:00:00,2039.84,2040.27,2029.47,2036.30,17914,26,0
2023.12.20 16:00:00,2036.31,2039.70,2030.33,2034.60,29006,26,0
2023.12.20 20:00:00,2034.60,2036.99,2027.32,2031.18,16558,26,0
2023.12.21 00:00:00,2031.15,2035.86,2031.15,2035.36,7193,28,0
2023.12.21 04:00:00,2035.33,2038.08,2034.77,2035.99,9654,26,0
2023.12.21 08:00:00,2036.08,2037.23,2033.83,2035.30,12461,26,0
2023.12.21 12:00:00,2035.29,2045.87,2031.91,2041.22,20693,26,0
2023.12.21 16:00:00,2041.23,2045.89,2036.56,2040.91,35547,26,0
2023.12.21 20:00:00,2040.90,2045.87,2037.41,2045.62,13356,26,0
2023.12.22 00:00:00,2045.34,2054.86,2045.34,2048.57,12078,26,0
2023.12.22 04:00:00,2048.59,2051.11,2047.02,2048.22,12883,26,0
2023.12.22 08:00:00,2048.17,2054.45,2046.93,2053.32,15375,26,0
2023.12.22 12:00:00,2053.32,2069.14,2053.28,2067.14,24994,26,0
2023.12.22 16:00:00,2067.16,2070.46,2050.99,2055.32,32036,26,0
2023.12.22 20:00:00,2055.35,2057.93,2051.60,2052.94,12992,26,0
2023.12.26 00:00:00,2052.96,2063.96,2052.34,2063.29,6314,26,0
2023.12.26 04:00:00,2063.31,2064.99,2061.22,2062.65,7781,26,0
2023.12.26 08:00:00,2062.63,2064.94,2060.41,2061.76,8117,26,0
2023.12.26 12:00:00,2061.75,2064.00,2058.67,2058.67,9790,26,0
2023.12.26 16:00:00,2058.56,2061.77,2054.38,2057.60,17305,26,0
2023.12.26 20:00:00,2057.62,2068.91,2057.20,2067.61,10915,26,0
2023.12.27 00:00:00,2067.75,2068.31,2063.84,2066.60,7876,26,0
2023.12.27 04:00:00,2066.62,2067.12,2063.95,2064.54,8667,26,0
2023.12.27 08:00:00,2064.54,2069.16,2064.26,2068.21,12364,26,0
2023.12.27 12:00:00,2068.22,2070.17,2061.35,2068.16,15280,26,0
2023.12.27 16:00:00,2068.24,2082.39,2066.46,2081.76,23669,26,0
2023.12.27 20:00:00,2081.79,2084.33,2075.78,2077.47,11296,26,0
2023.12.28 00:00:00,2077.25,2087.64,2076.66,2086.87,8536,26,0
2023.12.28 04:00:00,2086.87,2088.31,2084.52,2085.71,11615,26,0
2023.12.28 08:00:00,2085.68,2087.41,2072.58,2076.90,18543,26,0
2023.12.28 12:00:00,2076.86,2079.15,2071.18,2072.83,17154,26,0
2023.12.28 16:00:00,2072.94,2081.04,2071.95,2074.66,27426,26,0
2023.12.28 20:00:00,2074.72,2075.34,2064.50,2065.24,12911,26,0
2023.12.29 00:00:00,2065.63,2071.26,2065.55,2070.60,8505,30,0
2023.12.29 04:00:00,2070.53,2072.19,2067.61,2072.12,9057,26,0
2023.12.29 08:00:00,2071.97,2074.64,2065.31,2065.47,13017,26,0
2023.12.29 12:00:00,2065.44,2068.78,2058.08,2059.04,18166,26,0
2023.12.29 16:00:00,2059.06,2068.03,2058.36,2066.51,32181,26,0
2023.12.29 20:00:00,2066.42,2067.73,2061.04,2062.71,12632,26,0
2024.01.02 00:00:00,2062.73,2069.69,2062.20,2066.43,9531,26,0
2024.01.02 04:00:00,2066.42,2074.86,2063.85,2074.41,9941,26,0
2024.01.02 08:00:00,2074.48,2078.82,2071.69,2076.95,19109,26,0
2024.01.02 12:00:00,2076.94,2077.67,2064.74,2066.19,23785,26,0
2024.01.02 16:00:00,2066.29,2070.62,2055.72,2062.57,36364,26,0
2024.01.02 20:00:00,2062.57,2064.82,2057.87,2058.86,10128,26,0
2024.01.03 00:00:00,2058.43,2062.46,2058.36,2062.34,7894,26,0
2024.01.03 04:00:00,2062.38,2065.87,2061.47,2064.02,8841,26,0
2024.01.03 08:00:00,2064.02,2065.34,2054.10,2056.69,17455,26,0
2024.01.03 12:00:00,2056.70,2057.08,2038.61,2040.93,26436,26,0
2024.01.03 16:00:00,2040.93,2048.64,2030.56,2033.24,44097,26,0
2024.01.03 20:00:00,2033.24,2042.23,2030.53,2041.29,21455,26,0
2024.01.04 00:00:00,2040.86,2043.68,2039.99,2042.12,8656,26,0
2024.01.04 04:00:00,2042.09,2046.85,2042.08,2043.68,11190,26,0
2024.01.04 08:00:00,2043.67,2050.80,2043.54,2047.94,20352,26,0
2024.01.04 12:00:00,2047.90,2050.69,2038.67,2040.13,21445,26,0
2024.01.04 16:00:00,2040.17,2047.66,2036.12,2043.17,30626,26,0
2024.01.04 20:00:00,2043.18,2044.74,2041.44,2043.21,8730,26,0
2024.01.05 00:00:00,2043.28,2048.12,2042.58,2046.01,8705,26,0
2024.01.05 04:00:00,2046.02,2047.75,2043.04,2044.37,8507,26,0
2024.01.05 08:00:00,2044.36,2046.88,2038.28,2038.79,17283,26,0
2024.01.05 12:00:00,2038.86,2041.83,2024.35,2039.79,25686,26,0
2024.01.05 16:00:00,2039.85,2063.89,2038.64,2041.89,54570,26,0
2024.01.05 20:00:00,2041.88,2050.25,2040.41,2045.41,15228,26,0
2024.01.08 00:00:00,2043.85,2046.45,2042.72,2043.62,7575,26,0
2024.01.08 04:00:00,2043.57,2043.66,2026.89,2030.66,14738,26,0
2024.01.08 08:00:00,2030.55,2033.17,2026.42,2029.00,21477,26,0
2024.01.08 12:00:00,2028.99,2029.39,2016.68,2018.84,24596,26,0
2024.01.08 16:00:00,2018.85,2036.77,2018.39,2027.52,32909,26,0
2024.01.08 20:00:00,2027.49,2029.72,2025.99,2027.86,10288,26,0
2024.01.09 00:00:00,2027.47,2035.50,2027.28,2032.13,9127,29,0
2024.01.09 04:00:00,2032.13,2035.75,2030.21,2032.68,10737,26,0
2024.01.09 08:00:00,2032.67,2038.11,2031.10,2035.34,18595,26,0
2024.01.09 12:00:00,2035.40,2041.81,2031.58,2038.58,20579,26,0
2024.01.09 16:00:00,2038.54,2039.99,2025.90,2027.61,34183,26,0
2024.01.09 20:00:00,2027.59,2031.01,2026.71,2030.08,11729,26,0
2024.01.10 00:00:00,2029.88,2032.34,2027.12,2031.69,9142,26,0
2024.01.10 04:00:00,2031.64,2032.75,2025.35,2026.47,11721,26,0
2024.01.10 08:00:00,2026.48,2036.03,2023.76,2035.61,20598,26,0
2024.01.10 12:00:00,2035.58,2040.10,2029.91,2030.19,19668,26,0
2024.01.10 16:00:00,2030.18,2033.50,2022.01,2023.94,31931,26,0
2024.01.10 20:00:00,2023.91,2024.94,2020.32,2024.21,15431,26,0
2024.01.11 00:00:00,2023.81,2030.25,2023.10,2029.58,8348,26,0
2024.01.11 04:00:00,2029.56,2034.55,2028.66,2032.82,10607,26,0
2024.01.11 08:00:00,2032.82,2035.52,2030.04,2031.21,16226,26,0
2024.01.11 12:00:00,2031.21,2046.62,2024.99,2029.31,25158,26,0
2024.01.11 16:00:00,2029.40,2034.81,2013.18,2014.28,57058,26,0
2024.01.11 20:00:00,2014.22,2029.58,2013.74,2028.51,20491,26,0
2024.01.12 00:00:00,2028.21,2035.42,2028.21,2033.70,14037,26,0
2024.01.12 04:00:00,2033.71,2036.97,2032.73,2035.86,14253,26,0
2024.01.12 08:00:00,2035.81,2039.96,2034.07,2037.99,17731,26,0
2024.01.12 12:00:00,2038.00,2056.51,2037.90,2056.06,31503,26,0
2024.01.12 16:00:00,2056.05,2062.08,2041.32,2043.79,48090,26,0
2024.01.12 20:00:00,2043.80,2049.07,2042.88,2048.86,13777,26,0
2024.01.15 00:00:00,2047.40,2051.26,2045.69,2050.91,9160,26,0
2024.01.15 04:00:00,2050.96,2057.99,2049.74,2054.99,13414,26,0
