name;enabled;called;setup;signals;executed;sltp_invalid;wins;losses;breakeven;winrate_pct;expectancy_R;profit_factor;avg_R_win;avg_R_loss;avg_score_win;avg_score_loss;avg_score_base;avg_score_final;avg_threshold;avg_spread_pts;avg_holding_sec;blk_NONE;blk_NO_SIGNAL;blk_COOLDOWN;blk_MTF;blk_HTF;blk_VELOCITY;blk_NEWS;blk_SPREAD;blk_PROTECTIONS;blk_SCORE_BELOW;blk_PREFLIGHT;blk_LICENSE;blk_PAUSED;blk_SEND_FAILED;dominant_blocker;reachability_pct;exec_rate_pct;health
ADX_RSI;1;2977;1406;1406;0;0;21;35;14;37.50;-0.054;0.56;0.184;-0.197;79.6;79.1;0.0;0.0;0.0;0.0;9480;0;0;0;0;0;0;0;0;0;0;55;0;0;2;10;47.23;0.00;BLOCKED_BY_GATE
BOLLINGER;1;2977;66;66;0;0;1;1;2;50.00;0.073;1.59;0.396;-0.249;62.0;82.0;0.0;0.0;0.0;0.0;9706;0;0;0;0;0;0;0;0;0;0;10;0;0;0;10;2.22;0.00;BLOCKED_BY_GATE
MACD;1;2977;1254;1254;0;0;38;78;35;32.76;-0.103;0.46;0.267;-0.283;87.6;89.4;0.0;0.0;0.0;0.0;13576;0;0;0;0;0;0;0;0;0;0;21;0;0;1;10;42.12;0.00;BLOCKED_BY_GATE
SAR;1;2977;1504;1504;0;0;51;103;19;33.12;-0.093;0.56;0.359;-0.317;80.0;82.1;0.0;0.0;0.0;0.0;20037;0;0;0;0;0;0;0;0;0;0;93;0;0;1;10;50.52;0.00;BLOCKED_BY_GATE
TSI;1;2977;1621;1621;0;0;30;39;30;43.48;-0.031;0.63;0.125;-0.151;86.0;89.1;0.0;0.0;0.0;0.0;10431;0;0;0;0;0;0;0;0;0;0;24;0;0;0;10;54.45;0.00;BLOCKED_BY_GATE
BJORGUM;1;2977;85;85;0;0;6;6;1;50.00;-0.069;0.70;0.326;-0.464;69.7;79.7;0.0;0.0;0.0;0.0;21458;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.86;0.00;NEEDS_REVIEW
LIQ_SWEEP;1;2977;42;42;0;0;1;3;0;25.00;-0.047;0.34;0.095;-0.094;72.0;72.0;0.0;0.0;0.0;0.0;14080;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.41;0.00;NEEDS_REVIEW
FVG_CONT;1;2977;317;317;0;0;13;24;5;35.14;-0.031;0.87;0.585;-0.364;91.5;95.0;0.0;0.0;0.0;0.0;9484;0;0;0;0;0;0;0;0;0;0;4;0;0;0;10;10.65;0.00;BLOCKED_BY_GATE
BREAKOUT_ACC;1;2977;448;448;0;0;9;8;3;52.94;0.042;1.50;0.238;-0.178;90.2;96.8;0.0;0.0;0.0;0.0;9944;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.05;0.00;NEEDS_REVIEW
LONDON_BO;1;2977;9;9;0;0;2;1;0;66.67;0.152;2.66;0.365;-0.275;90.0;70.0;0.0;0.0;0.0;0.0;12856;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.30;0.00;NEEDS_REVIEW
EMA_PULLBACK;1;2977;95;95;0;0;4;10;1;28.57;-0.149;0.25;0.177;-0.280;74.0;81.0;0.0;0.0;0.0;0.0;10733;0;0;0;0;0;0;0;0;0;0;1;0;0;0;10;3.19;0.00;BLOCKED_BY_GATE
BB_SQUEEZE;1;2977;85;85;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;85;0;0;0;10;2.86;0.00;BLOCKED_BY_GATE
ICHIMOKU;1;2977;81;81;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;81;0;0;0;10;2.72;0.00;BLOCKED_BY_GATE
RSI_DIV;1;2977;225;225;0;0;26;23;5;53.06;0.027;1.08;0.656;-0.684;71.1;71.0;0.0;0.0;0.0;0.0;14413;0;0;0;0;0;0;0;0;0;0;10;0;0;1;10;7.56;0.00;BLOCKED_BY_GATE
ORDER_BLOCK;1;2977;81;81;0;0;3;5;0;37.50;0.035;1.47;0.290;-0.118;96.7;100.0;0.0;0.0;0.0;0.0;10520;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.72;0.00;NEEDS_REVIEW
STRUCT_REACT;1;2977;905;905;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;905;0;0;0;10;30.40;0.00;BLOCKED_BY_GATE
TURTLE_SOUP;1;2977;88;88;0;0;19;13;0;59.38;-0.057;0.76;0.301;-0.580;92.1;87.5;0.0;0.0;0.0;0.0;9899;0;0;0;0;0;0;0;0;0;0;9;0;0;0;10;2.96;0.00;BLOCKED_BY_GATE
IFVG;1;2977;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
FVG_MIT;1;2977;14;14;0;0;1;1;0;50.00;-0.035;0.74;0.195;-0.265;100.0;100.0;0.0;0.0;0.0;0.0;1365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.47;0.00;NEEDS_REVIEW
OB_MIT;1;2977;386;386;0;0;7;16;2;30.43;-0.074;0.46;0.206;-0.196;81.4;90.0;0.0;0.0;0.0;0.0;11695;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.97;0.00;NEEDS_REVIEW
SH_BMS_RTO;1;2977;12;12;0;0;1;1;1;50.00;-0.207;0.20;0.102;-0.516;94.0;100.0;0.0;0.0;0.0;0.0;15280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.40;0.00;NEEDS_REVIEW
SMS_BMS_RTO;1;2977;7;7;0;0;0;0;1;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;9000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.24;0.00;NEEDS_REVIEW
