name;enabled;called;setup;signals;executed;sltp_invalid;wins;losses;breakeven;winrate_pct;expectancy_R;profit_factor;avg_R_win;avg_R_loss;avg_score_win;avg_score_loss;avg_score_base;avg_score_final;avg_threshold;avg_spread_pts;avg_holding_sec;blk_NONE;blk_NO_SIGNAL;blk_COOLDOWN;blk_MTF;blk_HTF;blk_VELOCITY;blk_NEWS;blk_SPREAD;blk_PROTECTIONS;blk_SCORE_BELOW;blk_PREFLIGHT;blk_LICENSE;blk_PAUSED;blk_SEND_FAILED;dominant_blocker;reachability_pct;exec_rate_pct;health
ADX_RSI;1;687;555;555;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;555;0;0;0;10;80.79;0.00;BLOCKED_BY_GATE
BOLLINGER;1;687;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
MACD;1;687;176;176;0;0;6;13;1;31.58;-0.063;0.66;0.390;-0.272;95.0;93.5;0.0;0.0;0.0;0.0;4189;0;0;0;0;0;0;0;0;0;0;156;0;0;0;10;25.62;0.00;BLOCKED_BY_GATE
SAR;1;687;293;293;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;293;0;0;0;10;42.65;0.00;BLOCKED_BY_GATE
TSI;1;687;555;555;0;0;17;36;71;32.08;-0.030;0.54;0.111;-0.096;81.9;85.2;0.0;0.0;0.0;0.0;4901;0;0;0;0;0;0;0;0;0;0;431;0;0;0;10;80.79;0.00;BLOCKED_BY_GATE
BJORGUM;1;687;27;27;0;0;2;3;2;40.00;0.205;2.70;0.815;-0.201;78.0;78.0;0.0;0.0;0.0;0.0;5917;0;0;0;0;0;0;0;0;0;0;20;0;0;0;10;3.93;0.00;BLOCKED_BY_GATE
LIQ_SWEEP;1;687;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
FVG_CONT;1;687;32;32;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;10;4.66;0.00;BLOCKED_BY_GATE
BREAKOUT_ACC;1;687;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
LONDON_BO;1;687;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
