name;enabled;called;setup;signals;executed;sltp_invalid;wins;losses;breakeven;winrate_pct;expectancy_R;profit_factor;avg_R_win;avg_R_loss;avg_score_win;avg_score_loss;avg_score_base;avg_score_final;avg_threshold;avg_spread_pts;avg_holding_sec;blk_NONE;blk_NO_SIGNAL;blk_COOLDOWN;blk_MTF;blk_HTF;blk_VELOCITY;blk_NEWS;blk_SPREAD;blk_PROTECTIONS;blk_SCORE_BELOW;blk_PREFLIGHT;blk_LICENSE;blk_PAUSED;blk_SEND_FAILED;dominant_blocker;reachability_pct;exec_rate_pct;health
NY_REVERSAL;1;461;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
WEEKLY_EXP;1;461;5;5;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;100.0;95.2;51.2;0.0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;10;1.08;0.00;BLOCKED_BY_GATE
PO3;1;461;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
LIQ_VOID;1;461;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
DISP_REBAL;1;461;14;14;2;0;0;2;0;0.00;-0.521;0.00;0.000;-0.521;0.0;99.0;98.8;97.4;58.1;55.0;282;0;0;0;0;0;0;0;0;1;0;10;0;0;0;10;3.04;14.29;NEEDS_REVIEW
RANGE_FADE;1;461;0;0;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;NO_SETUP_FOUND
ELLIOTT;1;461;66;66;0;0;0;0;0;0.00;0.000;0.00;0.000;0.000;0.0;0.0;89.8;89.6;61.9;0.0;0;0;0;0;0;0;0;0;0;3;5;56;0;0;0;10;14.32;0.00;BLOCKED_BY_GATE
MALAYSIAN_SNR_NXR;1;303;303;303;49;0;23;25;1;47.92;0.152;1.46;1.007;-0.636;74.1;75.6;74.2;73.8;59.0;55.6;622;0;0;2;0;0;0;0;0;0;11;99;0;0;1;10;100.00;16.17;HEALTHY
OB_MIT_NXR;1;46;46;46;6;0;2;4;0;33.33;0.188;1.54;1.607;-0.521;76.0;83.8;79.0;79.0;58.9;55.7;861;0;0;0;0;0;0;0;0;0;0;17;0;0;0;10;100.00;13.04;NEEDS_REVIEW
FVG_MIT_NXR;1;59;59;59;34;0;16;17;1;48.48;0.159;1.54;0.930;-0.567;74.4;76.2;75.1;73.8;59.9;54.7;893;0;0;2;0;0;0;0;0;0;2;12;0;0;0;10;100.00;57.63;HEALTHY
IFVG_NXR;1;16;16;16;8;0;3;4;1;42.86;-0.292;0.23;0.201;-0.662;78.7;77.3;76.9;79.4;59.4;54.5;588;0;0;0;0;0;0;0;0;0;0;3;0;0;0;10;100.00;50.00;NEEDS_REVIEW
