episode_id,timestamp,outcome,source_tf,direction,penetration_per_atr,age_seconds
Asia-High_2025.09.10__ep2,2025-09-10 12:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,SELL,0.022101449275362322,43200.0
Asia-High_2025.09.10__ep3,2025-09-10 16:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,SELL,0.042656334878152534,57600.0
Asia-High_2025.09.10__ep6,2025-09-10 18:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,SELL,0.00034477091696422313,64800.0
Daily-Low_2025.09.09__ep1,2025-09-10 01:15:00,INVALIDATED_NO_BREAK,PERIOD_M15,BUY,0.10907723833376576,90900.0
Asia-Low_2025.09.11__ep1,2025-09-11 00:00:00,INVALIDATED_NO_BREAK,PERIOD_D1,BUY,0.03697626153141234,0.0
Daily-Low_2025.09.10__ep1,2025-09-11 13:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,BUY,0.019417961495254512,133200.0
Daily-Low_2025.09.10__ep7,2025-09-11 17:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,BUY,0.09321478708469817,147600.0
Equal-High_2025.09.11 18:15__ep1,2025-09-11 18:30:00,INVALIDATED_NO_BREAK,PERIOD_M15,SELL,0.014658566923262404,
Equal-High_2025.09.11 18:30__ep1,2025-09-11 18:45:00,INVALIDATED_NO_BREAK,PERIOD_M15,SELL,0.036483112548816,
Equal-High_2025.09.11 19:15__ep1,2025-09-11 19:30:00,INVALIDATED_NO_BREAK,PERIOD_M15,SELL,0.011529083893300464,
Equal-High_2025.09.11 19:30__ep1,2025-09-11 19:45:00,INVALIDATED_NO_BREAK,PERIOD_M15,SELL,0.03831515109789372,
Daily-High_2025.09.11__ep1,2025-09-12 12:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,SELL,0.12788242302881722,129600.0
Daily-High_2025.09.11__ep2,2025-09-12 16:00:00,INVALIDATED_NO_BREAK,PERIOD_H4,SELL,0.023697745680848873,144000.0
Daily-High_2025.09.11__ep3,2025-09-12 18:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,SELL,0.01552704879408838,151200.0
Asia-Low_2025.09.12__ep1,2025-09-12 00:00:00,INVALIDATED_NO_BREAK,PERIOD_D1,BUY,0.007430815031550898,0.0
Equal-Low_2025.09.15 05:00__ep1,2025-09-15 06:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,BUY,0.04934179496742716,
Asia-High_2025.09.15__ep1,2025-09-15 00:00:00,INVALIDATED_NO_BREAK,PERIOD_D1,SELL,0.006941168727749374,0.0
Asia-Low_2025.09.16__ep1,2025-09-16 00:00:00,TRUE_BREAK_OBSERVED,PERIOD_D1,BUY,0.00840251819547767,0.0
Asia-High_2025.09.16__ep1,2025-09-16 16:00:00,INVALIDATED_NO_BREAK,PERIOD_H4,SELL,0.032010325911584384,57600.0
Asia-High_2025.09.16__ep5,2025-09-16 20:00:00,INVALIDATED_NO_BREAK,PERIOD_H4,SELL,0.027616369884411126,72000.0
Equal-High_2025.09.16 17:00__ep1,2025-09-16 17:15:00,INVALIDATED_NO_BREAK,PERIOD_M15,SELL,0.00042385722793134364,
Equal-Low_2025.09.16 18:45__ep1,2025-09-16 19:00:00,INVALIDATED_NO_BREAK,PERIOD_M15,BUY,0.016803133234713073,
Equal-Low_2025.09.16 19:00__ep1,2025-09-16 19:15:00,INVALIDATED_NO_BREAK,PERIOD_M15,BUY,0.03313128147879762,
Weekly-High_2025.09.07__ep1,2025-09-17 11:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,SELL,0.11864677027546686,903600.0
Weekly-High_2025.09.07__ep2,2025-09-17 12:00:00,INVALIDATED_NO_BREAK,PERIOD_H4,SELL,0.06012797441738753,907200.0
Weekly-High_2025.09.07__ep5,2025-09-18 00:00:00,INVALIDATED_NO_BREAK,PERIOD_D1,SELL,0.029226313861981018,950400.0
Weekly-High_2025.09.07__ep7,2025-09-19 19:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,SELL,0.03861443736345058,1105200.0
Asia-High_2025.09.17__ep1,2025-09-17 00:00:00,INVALIDATED_NO_BREAK,PERIOD_D1,SELL,0.011589607081496513,0.0
Daily-Low_2025.09.16__ep1,2025-09-17 08:00:00,INVALIDATED_NO_BREAK,PERIOD_H4,BUY,0.03823355845099103,115200.0
Daily-Low_2025.09.16__ep2,2025-09-17 16:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,BUY,0.04882299953862266,144000.0
Daily-Low_2025.09.16__ep7,2025-09-17 20:00:00,INVALIDATED_NO_BREAK,PERIOD_H4,BUY,0.060682044310648345,158400.0
Equal-High_2025.09.17 17:00__ep1,2025-09-17 18:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,SELL,0.017426456468822737,
Daily-High_2025.09.16__ep1,2025-09-17 21:15:00,TRUE_BREAK_OBSERVED,PERIOD_M5,SELL,0.20669118458012964,162900.0
Equal-Low_2025.09.17 22:30__ep1,2025-09-17 22:45:00,INVALIDATED_NO_BREAK,PERIOD_M15,BUY,0.012724395907328462,
Equal-Low_2025.09.18 01:00__ep1,2025-09-18 01:15:00,INVALIDATED_NO_BREAK,PERIOD_M15,BUY,0.024176282177259614,
Asia-Low_2025.09.18__ep1,2025-09-18 02:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,BUY,0.006825107398493979,7200.0
Asia-Low_2025.09.18__ep2,2025-09-18 04:00:00,INVALIDATED_NO_BREAK,PERIOD_H4,BUY,0.054654494152353246,14400.0
Asia-Low_2025.09.18__ep3,2025-09-18 17:00:00,INVALIDATED_NO_BREAK,PERIOD_H1,BUY,0.062412197385950226,61200.0
Equal-High_2025.09.18 04:00__ep1,2025-09-18 08:00:00,TRUE_BREAK_OBSERVED,PERIOD_H4,SELL,0.02122571648673208,
Daily-Low_2025.09.17__ep1,2025-09-18 10:30:00,INVALIDATED_NO_BREAK,PERIOD_M30,BUY,0.04066945566058122,124200.0
