sweep_id,side,trigger_price,actual_fill,slippage_trigger_to_fill_pips,actual_SL,actual_TP,counterfactual_SL,counterfactual_TP,actual_outcome,counterfactual_outcome,actual_pnl_pips,counterfactual_pnl_pips,actual_pnl_usd,category,ambiguous_same_bar
90,HIGH,4087.39,4083.9,34.89999999999782,4089.89,4077.39,4086.4,4073.9,TP,TP,65.10000000000218,100.0,11.55,WIN_PRESERVED,False
93,HIGH,4126.11,4121.78,43.29999999999927,4128.61,4116.11,4124.28,4111.78,SL,SL,-68.29999999999927,-25.0,-12.34,BOTH_LOSS,False
94,LOW,4087.97,4093.65,56.80000000000291,4085.47,4097.969999999999,4091.15,4103.65,TP,TP,43.19999999999254,100.0,7.89,WIN_PRESERVED,False
95,LOW,4078.91,4085.36,64.50000000000273,4076.41,4088.91,4082.86,4095.36,TP,SL,35.49999999999727,-25.0,6.4,WIN_LOST,False
96,LOW,4054.93,4055.76,8.30000000000382,4052.43,4064.93,4053.26,4065.76,TP,SL,91.69999999999618,-25.0,16.31,WIN_LOST,False
98,HIGH,4016.65,4010.81,58.400000000001455,4019.15,4006.65,4013.31,4000.81,SL,SL,-83.40000000000146,-25.0,-14.68,BOTH_LOSS,False
100,LOW,4047.07,4054.54,74.699999999998,4044.57,4057.07,4052.04,4064.54,TP,SL,25.300000000002,-25.0,4.43,WIN_LOST,False
102,LOW,4024.39,4025.06,6.700000000000728,4021.89,4034.39,4022.56,4035.06,SL,SL,-31.700000000000728,-25.0,-5.57,BOTH_LOSS,False
105,LOW,3986.45,3990.55,41.00000000000364,3983.95,3996.45,3988.05,4000.55,TP,SL,58.99999999999636,-25.0,10.41,WIN_LOST,False
108,LOW,3999.22,4007.1,78.80000000000109,3996.72,4009.22,4004.6,4017.1,TP,SL,21.19999999999891,-25.0,4.05,WIN_LOST,True
110,HIGH,4066.08,4061.27,48.099999999999454,4068.58,4056.08,4063.77,4051.27,SL,SL,-73.09999999999945,-25.0,-12.91,BOTH_LOSS,False
111,HIGH,4076.63,4075.74,8.900000000003274,4079.13,4066.63,4078.24,4065.74,SL,SL,-33.900000000003274,-25.0,-5.98,BOTH_LOSS,False
114,LOW,4122.05,4122.61,5.599999999994907,4119.55,4132.05,4120.11,4132.61,TP,TP,94.4000000000051,100.0,16.59,WIN_PRESERVED,False
117,LOW,4025.12,4032.16,70.39999999999964,4022.62,4035.12,4029.66,4042.16,SL,SL,-95.39999999999964,-25.0,-16.87,BOTH_LOSS,False
118,HIGH,4074.56,4071.89,26.700000000000728,4077.06,4064.56,4074.39,4061.89,SL,SL,-51.70000000000073,-25.0,-9.1,BOTH_LOSS,False
119,HIGH,4084.72,4084.59,1.299999999996544,4087.22,4074.72,4087.09,4074.59,SL,SL,-26.299999999996544,-25.0,-4.62,BOTH_LOSS,False
120,LOW,4076.59,4074.61,-19.800000000000182,4074.09,4086.59,4072.11,4084.61,SL,SL,-5.199999999999818,-25.0,-0.98,BOTH_LOSS,False
121,LOW,4024.25,4026.84,25.900000000001455,4021.75,4034.25,4024.34,4036.84,TP,SL,74.09999999999854,-25.0,13.2,WIN_LOST,False
122,HIGH,4034.75,4029.22,55.300000000002,4037.25,4024.75,4031.72,4019.22,TP,SL,44.699999999998,-25.0,7.86,WIN_LOST,False
123,LOW,3999.53,4005.8,62.69999999999982,3997.03,4009.53,4003.3,4015.8,TP,SL,37.30000000000018,-25.0,6.69,WIN_LOST,False
124,HIGH,4041.93,4039.08,28.49999999999909,4044.43,4031.93,4041.58,4029.08,SL,SL,-53.49999999999909,-25.0,-9.64,BOTH_LOSS,False
125,LOW,4033.69,4033.95,2.5999999999976353,4031.19,4043.69,4031.45,4043.95,SL,SL,-27.599999999997635,-25.0,-5.02,BOTH_LOSS,False
127,HIGH,4112.17,4110.6,15.69999999999709,4114.67,4102.17,4113.1,4100.6,TP,TP,84.30000000000291,100.0,15.1,WIN_PRESERVED,False
128,LOW,4075.95,4076.24,2.899999999999636,4073.45,4085.95,4073.74,4086.24,SL,SL,-27.899999999999636,-25.0,-4.85,BOTH_LOSS,False
129,LOW,4042.92,4049.49,65.69999999999709,4040.42,4052.92,4046.99,4059.49,SL,SL,-90.69999999999709,-25.0,-15.79,BOTH_LOSS,False
130,HIGH,4066.66,4063.55,31.099999999996726,4069.16,4056.66,4066.05,4053.55,SL,SL,-56.099999999996726,-25.0,-9.74,BOTH_LOSS,False
132,LOW,4034.37,4036.88,25.100000000002183,4031.87,4044.37,4034.38,4046.88,SL,SL,-50.10000000000218,-25.0,-8.81,BOTH_LOSS,False
134,HIGH,4089.89,4083.57,63.19999999999709,4092.39,4079.89,4086.07,4073.57,TP,SL,36.80000000000291,-25.0,6.47,WIN_LOST,False
140,LOW,4238.71,4248.04,93.29999999999927,4236.21,4248.71,4245.54,4258.04,TP,TP,6.700000000000728,100.0,2.03,WIN_PRESERVED,False
141,HIGH,4256.52,4249.52,70.0,4259.02,4246.52,4252.02,4239.52,SL,SL,-95.0,-25.0,-16.53,BOTH_LOSS,False
143,HIGH,4320.19,4314.9,52.899999999999636,4322.69,4310.19,4317.4,4304.9,TP,TP,47.100000000000364,100.0,13.79,WIN_PRESERVED,False
144,LOW,4323.68,4324.94,12.599999999993088,4321.18,4333.68,4322.44,4334.94,SL,SL,-37.59999999999309,-25.0,-6.7,BOTH_LOSS,False
145,HIGH,4354.97,4350.99,39.80000000000473,4357.47,4344.97,4353.49,4340.99,SL,SL,-64.80000000000473,-25.0,-12.44,BOTH_LOSS,False
147,HIGH,4358.48,4351.53,69.49999999999818,4360.98,4348.48,4354.03,4341.53,SL,SL,-94.49999999999818,-25.0,-16.69,BOTH_LOSS,False
148,HIGH,4379.57,4378.6,9.699999999993452,4382.07,4369.57,4381.1,4368.6,SL,SL,-34.69999999999345,-25.0,-6.12,BOTH_LOSS,False
149,HIGH,4429.45,4428.3,11.499999999996362,4431.95,4419.45,4430.8,4418.3,TP,TP,88.50000000000364,100.0,15.39,WIN_PRESERVED,False
151,LOW,4364.05,4371.51,74.60000000000036,4361.55,4374.05,4369.01,4381.51,SL,SL,-99.60000000000036,-25.0,-17.28,BOTH_LOSS,False
153,HIGH,4436.91,4427.62,92.89999999999964,4439.41,4426.91,4430.12,4417.62,TP,SL,7.100000000000364,-25.0,1.4,WIN_LOST,False
155,LOW,4368.0,4369.85,18.500000000003638,4365.5,4378.0,4367.35,4379.85,SL,SL,-43.50000000000364,-25.0,-7.61,BOTH_LOSS,False
156,LOW,4347.21,4351.91,46.99999999999818,4344.71,4357.21,4349.41,4361.91,TP,SL,53.00000000000182,-25.0,7.53,WIN_LOST,False
157,LOW,4324.56,4326.08,15.19999999999527,4322.06,4334.56,4323.58,4336.08,SL,SL,-40.19999999999527,-25.0,-7.12,BOTH_LOSS,False
158,HIGH,4393.71,4384.29,94.20000000000073,4396.21,4383.71,4386.79,4374.29,TP,SL,5.799999999999272,-25.0,1.19,WIN_LOST,False
159,HIGH,4400.69,4395.48,52.100000000000364,4403.19,4390.69,4397.98,4385.48,TP,SL,47.899999999999636,-25.0,8.27,WIN_LOST,False
162,LOW,4401.39,4402.63,12.399999999997817,4398.89,4411.39,4400.13,4412.63,SL,SL,-37.39999999999782,-25.0,-6.6,BOTH_LOSS,False
164,HIGH,4355.3,4353.4,19.000000000005457,4357.8,4345.3,4355.9,4343.4,SL,SL,-44.00000000000546,-25.0,-7.87,BOTH_LOSS,False
170,HIGH,4537.85,4533.59,42.60000000000218,4540.35,4527.85,4536.09,4523.59,TP,SL,57.39999999999782,-25.0,9.87,WIN_LOST,False
171,HIGH,4553.54,4550.69,28.500000000003638,4556.04,4543.54,4553.19,4540.69,SL,SL,-53.50000000000364,-25.0,-9.34,BOTH_LOSS,False
174,HIGH,4650.28,4643.56,67.19999999999345,4652.78,4640.28,4646.06,4633.56,TP,TP,32.80000000000655,100.0,5.92,WIN_PRESERVED,False
175,HIGH,4677.01,4672.18,48.29999999999927,4679.51,4667.01,4674.68,4662.18,SL,SL,-73.29999999999927,-25.0,-12.6,BOTH_LOSS,True
176,LOW,4632.38,4640.85,84.70000000000255,4629.88,4642.38,4638.35,4650.85,SL,SL,-109.70000000000255,-25.0,-18.92,BOTH_LOSS,False
179,LOW,4609.96,4613.18,32.20000000000255,4607.46,4619.96,4610.68,4623.18,SL,SL,-57.20000000000255,-25.0,-9.89,BOTH_LOSS,False
