time,open,high,low,close,tick_volume
2025.01.02 08:00,2634.02,2639.79,2630.98,2635.96,26900
2025.01.02 12:00,2635.93,2647.15,2632.59,2642.94,40271
2025.01.02 16:00,2642.87,2660.42,2640.29,2656.49,58768
2025.01.02 20:00,2656.48,2660.37,2653.66,2657.85,26789
2025.01.03 00:00,2657.86,2662.45,2656.57,2659.33,12170
2025.01.03 04:00,2659.29,2665.09,2655.76,2658.4,25108
2025.01.03 08:00,2658.44,2660.24,2649.77,2653.49,26443
2025.01.03 12:00,2653.43,2659.19,2643.36,2649.68,28698
2025.01.03 16:00,2649.69,2652.62,2639.02,2641.7,51649
2025.01.03 20:00,2641.74,2642.85,2636.58,2640.17,21807
2025.01.06 00:00,2639.2,2647.25,2638.47,2641.22,18108
2025.01.06 04:00,2641.13,2645.23,2631.4,2633.74,28897
2025.01.06 08:00,2633.76,2635.59,2625.07,2632.56,28311
2025.01.06 12:00,2632.56,2649.32,2621.68,2624.08,48692
2025.01.06 16:00,2624.02,2641.22,2614.6,2636.6,60557
2025.01.06 20:00,2636.59,2638.44,2632.78,2635.82,23922
2025.01.07 00:00,2636.12,2641.08,2632.84,2638.87,14492
2025.01.07 04:00,2638.84,2645.6,2636.82,2644.32,20012
2025.01.07 08:00,2644.28,2646.63,2637.93,2641.3,28845
2025.01.07 12:00,2641.24,2664.14,2641.19,2662.42,35216
2025.01.07 16:00,2662.54,2662.89,2641.88,2652.41,58643
2025.01.07 20:00,2652.4,2652.55,2646.91,2648.54,26895
2025.01.08 00:00,2647.66,2651.42,2647.07,2648.66,14099
2025.01.08 04:00,2648.66,2650.59,2645.12,2649.92,21517
2025.01.08 08:00,2649.91,2654.93,2648.81,2653.41,26623
2025.01.08 12:00,2653.38,2660.21,2645.71,2660.07,34061
2025.01.08 16:00,2660.03,2669.97,2649.31,2655.48,54744
2025.01.08 20:00,2655.45,2663.98,2651.43,2661.42,28756
2025.01.09 00:00,2660.6,2663.14,2657.25,2658.46,11258
2025.01.09 04:00,2658.45,2662.04,2655.35,2658.21,18127
2025.01.09 08:00,2658.21,2666.81,2658.2,2664.9,26791
2025.01.09 12:00,2664.86,2678.18,2664.39,2672.5,32481
2025.01.09 16:00,2672.46,2675.66,2662.64,2665.76,35272
2025.01.09 20:00,2665.78,2672.51,2664.85,2670.15,16715
2025.01.10 00:00,2670.02,2671.85,2668.28,2670.88,12087
2025.01.10 04:00,2670.88,2675.71,2670.35,2674.81,19271
2025.01.10 08:00,2674.77,2682.38,2673.39,2678.43,33122
2025.01.10 12:00,2678.41,2683.55,2663.63,2682.33,44103
2025.01.10 16:00,2682.41,2697.9,2680.61,2695.93,75103
2025.01.10 20:00,2695.92,2697.13,2684.29,2689.05,32113
2025.01.13 00:00,2689.83,2693.0,2679.14,2685.38,18662
2025.01.13 04:00,2685.43,2690.73,2683.01,2686.69,26621
2025.01.13 08:00,2686.73,2691.14,2682.86,2684.71,35074
2025.01.13 12:00,2684.6,2684.99,2663.68,2668.99,48943
2025.01.13 16:00,2669.02,2674.02,2659.14,2660.73,52687
2025.01.13 20:00,2660.74,2664.06,2656.65,2662.88,22117
2025.01.14 00:00,2663.14,2671.98,2662.29,2670.57,17578
2025.01.14 04:00,2670.58,2675.13,2667.22,2668.41,20880
2025.01.14 08:00,2668.52,2674.3,2664.68,2667.2,22750
2025.01.14 12:00,2667.18,2674.29,2660.73,2662.83,37498
2025.01.14 16:00,2662.74,2673.9,2659.72,2668.89,52966
2025.01.14 20:00,2668.9,2678.09,2666.58,2677.05,22728
2025.01.15 00:00,2678.31,2679.27,2669.72,2669.82,9926
2025.01.15 04:00,2669.86,2679.15,2669.21,2679.11,20892
2025.01.15 08:00,2679.14,2688.37,2678.99,2685.74,27454
2025.01.15 12:00,2685.76,2694.07,2681.99,2693.63,42438
2025.01.15 16:00,2693.68,2695.92,2676.59,2692.51,62305
2025.01.15 20:00,2692.49,2697.31,2690.96,2696.56,21358
2025.01.16 00:00,2695.15,2702.11,2692.64,2696.04,20929
2025.01.16 04:00,2696.07,2698.3,2693.67,2694.57,23732
2025.01.16 08:00,2694.6,2706.03,2689.83,2705.24,33616
2025.01.16 12:00,2705.23,2718.23,2700.1,2715.21,39284
2025.01.16 16:00,2715.16,2724.54,2712.49,2721.63,55685
2025.01.16 20:00,2721.74,2723.16,2712.26,2714.44,21306
2025.01.17 00:00,2713.82,2715.94,2709.72,2714.5,16160
2025.01.17 04:00,2714.58,2717.19,2711.08,2711.53,22008
2025.01.17 08:00,2711.54,2714.46,2703.86,2704.57,29520
2025.01.17 12:00,2704.57,2711.97,2702.73,2704.89,39126
