bin,n_events,pct_reclaim,pct_broken_or_continuation,median_MFE_1h,mean_MFE_1h,median_MAE_1h,mean_MAE_1h,median_MFE_4h,mean_MFE_4h,median_MAE_4h,mean_MAE_4h,median_time_to_reclaim_h,n_first_touch,n_repeat_touch,median_age_at_touch_h
0-10,112845,100.0,0.0,48.3,74.53,12.6,33.36,77.8,121.68,41.9,81.64,0.0,2951,109894,348.75
10-20,54743,100.0,0.0,58.7,89.75,18.9,45.84,93.6,147.4,51.1,102.54,0.0,1645,53098,353.75
20-30,32508,100.0,0.0,64.3,98.85,27.5,54.75,105.1,164.23,55.2,114.43,0.0,1154,31354,353.0
30-40,22335,100.0,0.0,64.1,102.1,36.9,63.58,108.6,173.51,57.7,127.96,0.25,765,21570,353.75
40-50,16540,100.0,0.0,68.4,109.11,46.1,71.54,115.5,182.89,56.3,138.05,0.25,527,16013,359.25
50-75,27395,100.0,0.0,66.3,108.87,62.1,83.05,116.7,186.07,71.3,148.73,0.5,1019,26376,358.5
75-100,16860,100.0,0.0,63.4,113.55,85.0,102.18,119.45,201.44,93.1,170.42,0.75,680,16180,352.5
100+,200770,36.0,64.0,-1640.4,-3094.57,1759.4,3311.57,-1567.75,-3021.8,1851.8,3397.6,5.25,3509,197261,1780.25
