ENTRY_MODEL,N,N_AVAIL,PCT_AVAIL,model_SL,model_TP,SL_AVOIDED,SL_AVOIDED_PCT,TP_LOST,TP_LOST_PCT,median_MAE_4h,median_MFE_4h,median_delay_h
IMMEDIATE_FADE,239,239,100.0,217,22,0,0.0,0,0.0,203.7,120.0,0.0
RECLAIM_LEVEL,239,134,56.1,129,5,109,50.2,21,95.5,140.1,163.9,0.25
RECLAIM_TRIGGER,239,167,69.9,139,28,80,36.9,2,9.1,122.3,167.7,0.0
REACTION_CANDLE,239,13,5.4,9,4,208,95.9,21,95.5,206.3,138.1,7.0
MICRO_STRUCTURE_SHIFT,239,68,28.5,56,12,170,78.3,20,90.9,173.1,155.3,2.0
LIMIT_RETEST,239,37,15.5,16,21,202,93.1,17,77.3,114.0,156.2,1.5
