strategy,session,reason
EMA_PULLBACK,2,OOS_PF_0.70_WF_3of5
LDN_REVERSAL,3,OOS_PF_0.73_WF_4of5
TSI,5,OOS_PF_0.56_WF_5of5
TURTLE_SOUP,1,OOS_PF_0.86_WF_3of5
TURTLE_SOUP,2,OOS_PF_0.86_WF_3of5
TURTLE_SOUP,4,OOS_PF_0.73_WF_4of5
TURTLE_SOUP,5,OOS_PF_0.68_WF_3of5
