bin,n_events,pct_reclaim,median_MFE_1h,mean_MFE_1h,median_MAE_1h,mean_MAE_1h,median_MFE_4h,mean_MFE_4h,median_MAE_4h,mean_MAE_4h,median_time_to_reclaim_h,n_first_touch,n_repeat_touch,median_age_h
0-10,82665,100.0,46.3,70.54,12.3,31.83,75.3,115.87,41.4,78.54,0.0,2870,79795,202.5
10-20,39164,100.0,56.6,84.79,18.7,43.29,91.6,139.88,49.8,96.96,0.0,1593,37571,197.9
20-30,23163,100.0,62.0,93.12,27.4,52.66,102.2,155.86,55.0,110.28,0.25,1111,22052,196.2
30-40,15903,100.0,61.7,95.28,36.8,59.99,105.0,161.66,56.1,120.87,0.25,746,15157,197.0
40-50,11641,100.0,64.1,99.11,45.9,67.42,108.9,168.06,52.9,128.05,0.25,513,11128,201.8
50-75,19435,100.0,61.6,98.7,61.7,79.1,108.5,168.72,70.7,139.35,0.5,987,18448,196.0
75-100,11858,100.0,57.3,103.89,84.4,98.22,110.2,184.6,92.5,159.35,0.75,660,11198,192.2
100+,63493,73.6,30.9,-200.13,176.9,467.73,40.4,-140.18,256.6,564.96,5.5,3370,60123,254.5
