time,open,high,low,close,sar,ema9,ema21,atr14
2025.01.02 08:00,2634.02,2639.79,2630.98,2635.96,1.7976931348623157e+308,2635.96,2635.96,1.7976931348623157e+308
2025.01.02 12:00,2635.93,2647.15,2632.59,2642.94,2630.98,2637.356,2636.594545454546,1.7976931348623157e+308
2025.01.02 16:00,2642.87,2660.42,2640.29,2656.49,2630.98,2641.1828,2638.403223140496,1.7976931348623157e+308
2025.01.02 20:00,2656.48,2660.37,2653.66,2657.85,2632.1576,2644.5162400000004,2640.1711119459055,1.7976931348623157e+308
2025.01.03 00:00,2657.86,2662.45,2656.57,2659.33,2633.288096,2647.4789920000003,2641.912829041732,1.7976931348623157e+308
2025.01.03 04:00,2659.29,2665.09,2655.76,2658.4,2635.03781024,2649.6631936000003,2643.4116627652106,1.7976931348623157e+308
2025.01.03 08:00,2658.44,2660.24,2649.77,2653.49,2637.4419854208,2650.4285548800003,2644.3278752411006,1.7976931348623157e+308
2025.01.03 12:00,2653.43,2659.19,2643.36,2649.68,2639.653826587136,2650.2788439040005,2644.8144320373644,1.7976931348623157e+308
2025.01.03 16:00,2649.69,2652.62,2639.02,2641.7,2665.09,2648.5630751232006,2644.531301852149,1.7976931348623157e+308
2025.01.03 20:00,2641.74,2642.85,2636.58,2640.17,2664.5686,2646.884460098561,2644.1348198655905,1.7976931348623157e+308
2025.01.06 00:00,2639.2,2647.25,2638.47,2641.22,2663.449056,2645.751568078849,2643.8698362414457,1.7976931348623157e+308
2025.01.06 04:00,2641.13,2645.23,2631.4,2633.74,2662.37429376,2643.349254463079,2642.948942037678,1.7976931348623157e+308
2025.01.06 08:00,2633.76,2635.59,2625.07,2632.56,2660.5158361344,2641.1914035704635,2642.0044927615254,1.7976931348623157e+308
2025.01.06 12:00,2632.56,2649.32,2621.68,2624.08,2657.6801692436484,2637.769122856371,2640.3749934195685,12.311428571428548
2025.01.06 16:00,2624.02,2641.22,2614.6,2636.6,2654.0801523192836,2637.535298285097,2640.0318121996074,13.583571428571402
2025.01.06 20:00,2636.59,2638.44,2632.78,2635.82,2649.3425340409694,2637.1922386280776,2639.648920181461,12.94785714285711
2025.01.07 00:00,2636.12,2641.08,2632.84,2638.87,2645.173429956053,2637.527790902462,2639.5781092558736,12.098571428571372
2025.01.07 04:00,2638.84,2645.6,2636.82,2644.32,2614.6,2638.88623272197,2640.0091902326126,12.246428571428494
2025.01.07 08:00,2644.28,2646.63,2637.93,2641.3,2615.22,2639.368986177576,2640.1265365751024,12.44785714285711
2025.01.07 12:00,2641.24,2664.14,2641.19,2662.42,2616.4764,2643.979188942061,2642.1532150682747,13.420714285714245
2025.01.07 16:00,2662.54,2662.89,2641.88,2652.41,2619.336216,2645.6653511536488,2643.085650062068,14.173571428571385
